,cmc_id,name,current_name,symbol,name_in_duneanalytics,name_in_debank,name_in_defi,name_in_tt,name_in_defistation,name_in_solana
0,1.0,Bitcoin,Bitcoin,BTC,,,,Bitcoin,,
1,2.0,Litecoin,Litecoin,LTC,,,,Litecoin,,
27,74.0,Dogecoin,Dogecoin,DOGE,,,,Dogecoin,,
56,213.0,MonaCoin,MonaCoin,MONA,,Mona,,,,
100,512.0,Stellar,Stellar,XLM,,,,Stellar,,
104,572.0,RabbitCoin,RabbitCoin,RBBT,,RabbitHole,,,,
131,789.0,Nexus,Nexus,NXS,Nexus Mutual,,Nexus-Mutual,,,
136,825.0,Tether,Tether,USDT,,,,,,Tether
168,1027.0,Ethereum,Ethereum,ETH,,,,Ethereum,,
186,1104.0,Augur,Augur,REP,Augur,Augur,Augur,,,
200,1168.0,Decred,Decred,DCR,,,,Decred,,
228,1274.0,Waves,Waves,WAVES,,,,,,Waves
260,1437.0,Zcash,Zcash,ZEC,,,,Zcash,,
285,1518.0,Maker,Maker,MKR,MakerDAO,Maker,Maker,MakerDAO,,
292,1552.0,Enzyme,Enzyme,MLN,,Enzyme,Enzyme Finance,Enzyme Finance,,
293,1552.0,Enzyme,Enzyme,MLN,,Enzyme,Enzyme-Finance,Enzyme Finance,,
294,1552.0,Enzyme,Enzyme,MLN,,Melon,Enzyme Finance,Enzyme Finance,,
295,1552.0,Enzyme,Enzyme,MLN,,Melon,Enzyme-Finance,Enzyme Finance,,
296,1552.0,Enzyme,Enzyme,MLN,,Melon Token,Enzyme Finance,Enzyme Finance,,
297,1552.0,Enzyme,Enzyme,MLN,,Melon Token,Enzyme-Finance,Enzyme Finance,,
312,1605.0,Universe,Universe,UNI,,Universe,,Universe,,
329,1659.0,Gnosis,Gnosis,GNO,,Gnosis,Gnosis,Gnosis,,
330,1659.0,Gnosis,Gnosis,GNO,,Gnosis Token,Gnosis,Gnosis,,
338,1680.0,Aragon,Aragon,ANT,,Aragon,,,,
339,1680.0,Aragon,Aragon,ANT,,Aragon Network Token,,,,
364,1727.0,Bancor,Bancor,BNT,Bancor,Bancor,Bancor,Bancor,,
365,1727.0,Bancor,Bancor,BNT,Bancor,Bancor Network Token,Bancor,Bancor,,
412,1839.0,Binance Coin,Binance Coin,BNB,,,,Binance Chain,,
430,1896.0,0x,0x,ZRX,0x,0x,,0x,,
431,1896.0,0x,0x,ZRX,0x,0x Protocol Token,,0x,,
444,1934.0,Loopring,Loopring,LRC,,Loopring,Loopring,Loopring,,
445,1934.0,Loopring,Loopring,LRC,,Loopring V1,Loopring,Loopring,,
446,1934.0,Loopring,Loopring,LRC,,LoopringCoin V2,Loopring,Loopring,,
456,1958.0,TRON,TRON,TRX,,,,TRON,,
465,1975.0,Chainlink,Chainlink,LINK,,ChainLink,,,,Chainlink
466,1975.0,Chainlink,Chainlink,LINK,,ChainLink Token,,,,Chainlink
468,1982.0,Kyber Network,Kyber Network Crystal Legacy,KNC,,Kyber,Kyber,Kyber,,
469,1982.0,Kyber Network,Kyber Network Crystal Legacy,KNC,,Kyber Network Crystal,Kyber,Kyber,,
475,1993.0,Kin,Kin,KIN,,,,,,Kin
483,2010.0,Cardano,Cardano,ADA,,,,Cardano,,
484,2011.0,Tezos,Tezos,XTZ,,,,Tezos,,
500,2058.0,AirSwap,AirSwap,AST,,Airswap,,,,
595,2280.0,Filecoin,Filecoin,FIL,,,,Filecoin,,
687,2430.0,Hydro Protocol,Hydro Protocol,HOT,,Hydro Protocol Token,,,,
755,2538.0,Nectar,Nectar,NEC,,Ethfinex Nectar Token,,,,
756,2539.0,Ren,Ren,REN,Ren,Ren,RenVM,Ren,,Ren
757,2539.0,Ren,Ren,REN,Ren,Republic Token,RenVM,Ren,,Ren
796,2586.0,Synthetix,Synthetix,SNX,Synthetix,Synthetix,Synthetix,Synthetix,,
797,2586.0,Synthetix,Synthetix,SNX,Synthetix,Synthetix Network Token,Synthetix,Synthetix,,
820,2620.0,Switcheo,Switcheo,SWTH,,Switcheo,,,,
835,2653.0,Auctus,Auctus,AUC,,,Auctus,,,
853,2682.0,Holo,Holo,HOT,,Hydro Protocol Token,,,,
905,2762.0,Open Platform,Open Platform,OPEN,,OPEN Governance Token,,,,
906,2762.0,Open Platform,Open Platform,OPEN,,OpenDAO,,,,
945,2873.0,Metronome,Metronome,MET,,,Metronome,,,
1093,3127.0,Themis,Themis,GET,,Themis,,,,
1252,3408.0,USD Coin,USD Coin,USDC,,,,,,USDC
1272,3444.0,KUN,KUN,KUN,,Qian,QIAN,,,
1273,7721.0,KUN,KUN,KUN,,Qian,QIAN,,,
1364,3640.0,Livepeer,Livepeer,LPT,,,,Livepeer,,
1493,3809.0,DOS Network,DOS Network,DOS,,DOS Network,,,,
1494,3809.0,DOS Network,DOS Network,DOS,,DOS Network Token,,,,
1555,3890.0,Polygon,Polygon,MATIC,,,Matic-Network,,,
1556,3890.0,Polygon,Polygon,MATIC,,,Polygon,,,
1577,3918.0,Safe,Safe,SAFE,,SAFE,,,,
1585,3928.0,IDEX,IDEX,IDEX,,IDEX,IDEX,IDEX,,
1586,3928.0,IDEX,IDEX,IDEX,,IDEX Token,IDEX,IDEX,,
1612,3964.0,Reserve Rights,Reserve Rights,RSR,,Reserve Rights,,,,
1664,4056.0,Ampleforth,Ampleforth,AMPL,,Ampleforth,,,,
1700,4118.0,ForTube,ForTube,FOR,,ForTube Bank,ForTube,,ForTube,
1701,4118.0,ForTube,ForTube,FOR,,ForTube Bank V1,ForTube,,ForTube,
1702,4118.0,ForTube,ForTube,FOR,,ForTube Bond,ForTube,,ForTube,
1703,4118.0,ForTube,ForTube,FOR,,The Force Token,ForTube,,ForTube,
1724,4157.0,THORChain,THORChain,RUNE,,,,THORChain,,
1731,4172.0,Terra,Terra,LUNA,,,,Terra,,Terra
1764,4228.0,Ferrum Network,Ferrum Network,FRM,,Ferrum,,,,
1765,4228.0,Ferrum Network,Ferrum Network,FRM,,Ferrum Network Token,,,,
1795,4276.0,Defi,Defi,DEFI,DeFi,,DeFi Swap,,,
1796,4276.0,Defi,Defi,DEFI,DeFi,,DeFi-Swap,,,
1809,4293.0,Perlin,Perlin,PERL,,Perlin,PerlinX,,,
1810,4293.0,Perlin,Perlin,PERL,,PerlinX,PerlinX,,,
1818,4307.0,UNICORN Token,UNICORN Token,UNI,,UNICORN Token,,UNICORN Token,,
1897,4679.0,Band Protocol,Band Protocol,BAND,,Band,,,,
1898,4679.0,Band Protocol,Band Protocol,BAND,,BandToken,,,,
1926,4758.0,dForce,dForce,DF,,dForce,dForce,,,
1927,4758.0,dForce,dForce,DF,,dForce Lending,dForce,,,
1928,4758.0,dForce,dForce,DF,,dForce Trade,dForce,,,
1929,4758.0,dForce,dForce,DF,,dForce Yield Markets,dForce,,,
1969,4846.0,Kava.io,Kava.io,KAVA,,,,Kava,,
1991,4901.0,Anchor,Anchor,ANCT,,,,,,Anchor
2010,4944.0,Tellor,Tellor,TRB,,Tellor,,,,
2054,5034.0,Kusama,Kusama,KSM,,,,Kusama,,
2134,5187.0,Jarvis Network,Jarvis Network,JRT,,Jarvis Network,,,,
2216,5354.0,PEAKDEFI,PEAKDEFI,PEAK,,PEAKDEFI,PEAKDEFI,,,
2249,5410.0,PARSIQ,PARSIQ,PRQ,,,,,,PARSIQ
2261,5426.0,Solana,Solana,SOL,,,,,,Solana
2268,5434.0,pTokens BTC,pTokens BTC,PBTC,,pBTC,,,,
2269,5434.0,pTokens BTC,pTokens BTC,PBTC,,pNetwork,,,,
2348,5566.0,Keep Network,Keep Network,KEEP,,Keep,KEEP Network,Keep Network,,
2349,5566.0,Keep Network,Keep Network,KEEP,,Keep,KEEP-Network,Keep Network,,
2350,5566.0,Keep Network,Keep Network,KEEP,,KEEP Token,KEEP Network,Keep Network,,
2351,5566.0,Keep Network,Keep Network,KEEP,,KEEP Token,KEEP-Network,Keep Network,,
2366,5601.0,xDai,xDai,STAKE,,xDai,xDai,,,
2375,5617.0,UMA,UMA,UMA,,UMA,,UMA,,
2376,5617.0,UMA,UMA,UMA,,UMA Voting Token v1,,UMA,,
2387,5631.0,Orion Protocol,Orion Protocol,ORN,,Orion Protocol,,,,
2388,5632.0,Arweave,Arweave,AR,,,,Arweave,,
2402,5660.0,UniPower,UniPower,POWER,,UniPower,,,,
2418,5692.0,Compound,Compound,COMP,Compound,Compound,Compound,Compound,,
2429,5712.0,FinNexus,FinNexus,FNX,,FinNexus,,,,
2438,5728.0,Balancer,Balancer,BAL,Balancer,Balancer,Balancer,Balancer,,
2447,5741.0,DMM: Governance,DMM: Governance,DMG,,DefiMoneyMarket,,,,
2448,5741.0,DMM: Governance,DMM: Governance,DMG,,DMM: Governance,,,,
2455,5748.0,Meta,mStable Governance Token: Meta (MTA),MTA,,Meta,,mStable,,
2456,5748.0,mStable Governance Token: Meta (MTA),mStable Governance Token: Meta (MTA),MTA,,,mStable,,,
2469,5776.0,tBTC,tBTC,TBTC,,tBTC,,,,
2482,5794.0,pNetwork,pNetwork,PNT,,pNetwork,,,,
2483,5794.0,pNetwork,pNetwork,PNT,,pNetwork Token,,,,
2497,5810.0,bZx Protocol,bZx Protocol,BZRX,,bZx,bZx,,bZx Protocol,
2498,5810.0,bZx Protocol,bZx Protocol,BZRX,,bZx Protocol Token,bZx,,bZx Protocol,
2499,5810.0,bZx Protocol,bZx Protocol,BZRX,,bZx V1,bZx,,bZx Protocol,
2506,5821.0,Aleph.im,Aleph.im,ALEPH,,,,,,Aleph.im
2509,5827.0,AntiscamToken,AntiscamToken,AST,,AirSwap Token,,,,
2511,5829.0,TrustSwap,TrustSwap,SWAP,,TrustSwap,,,,
2512,5829.0,TrustSwap,TrustSwap,SWAP,,TrustSwap Token,,,,
2513,5830.0,NXM,NXM,NXM,,Nexus Mutual,,Nexus Mutual,,
2517,5834.0,Add.xyz,Add.xyz,ADD,,ADD.XYZ,,,,
2523,5841.0,NEST Protocol,NEST Protocol,NEST,,NEST,,,,
2537,5864.0,yearn.finance,yearn.finance,YFI,yearn.finance,Yearn,yearn.finance,yearn.finance,,
2538,5864.0,yearn.finance,yearn.finance,YFI,yearn.finance,Yearn V2,yearn.finance,yearn.finance,,
2539,5864.0,yearn.finance,yearn.finance,YFI,yearn.finance,yearn.finance,yearn.finance,yearn.finance,,
2549,5877.0,Rarible,Rarible,RARI,,,,Rarible,,
2559,5890.0,Unit Protocol,Unit Protocol,COL,,,,Unit Protocol,,
2560,5892.0,Anyswap,Anyswap,ANY,,Anyswap,,,,
2561,5893.0,Frontier,Frontier,FRONT,,,,,,Frontier
2581,5922.0,Swingby,Swingby,SWINGBY,,Swingby,,,,
2593,5942.0,DEMOS,DEMOS,DOS,,DOS Network Token,,,,
2596,5948.0,Unicrypt,Unicrypt,UNC,,Unicrypt,,,,
2601,5956.0,MCDEX,MCDEX,MCB,,MCDEX,MCDEX,,,
2602,5956.0,MCDEX,MCDEX,MCB,,MCDEX Token,MCDEX,,,
2603,5957.0,DFI.Money,DFI.Money,YFII,,DFI.Money (YFII),DFI.money,,,
2604,5957.0,DFI.Money,DFI.Money,YFII,,YFII.finance,DFI.money,,,
2712,6187.0,Serum,Serum,SRM,,,,Serum,,Serum Swap
2713,6187.0,Serum,Serum,SRM,,,,Serum,,SerumDex
2718,6193.0,Cream Finance,Cream Finance,CREAM,,Cream,C.R.E.A.M. Finance,Cream,Cream Finance,
2719,6193.0,Cream Finance,Cream Finance,CREAM,,Cream,C.R.E.A.M. Swap,Cream,Cream Finance,
2720,6193.0,Cream Finance,Cream Finance,CREAM,,Cream,C.R.E.A.M.-Finance,Cream,Cream Finance,
2721,6193.0,Cream Finance,Cream Finance,CREAM,,Cream,C.R.E.A.M.-Swap,Cream,Cream Finance,
2722,6193.0,Cream Finance,Cream Finance,CREAM,,Cream V2,C.R.E.A.M. Finance,Cream,Cream Finance,
2723,6193.0,Cream Finance,Cream Finance,CREAM,,Cream V2,C.R.E.A.M. Swap,Cream,Cream Finance,
2724,6193.0,Cream Finance,Cream Finance,CREAM,,Cream V2,C.R.E.A.M.-Finance,Cream,Cream Finance,
2725,6193.0,Cream Finance,Cream Finance,CREAM,,Cream V2,C.R.E.A.M.-Swap,Cream,Cream Finance,
2727,6195.0,Unitrade,Unitrade,TRADE,,,UniTrade,,,
2777,6370.0,Terra SDT,Terra SDT,SDT,,Stake DAO Token,,,,
2788,6405.0,MiniSwap,MiniSwap,MINI,,MINISWAP,,,,
2790,6407.0,YF Link,YF Link,YFL,,YFLink,,,,
2858,6538.0,Curve DAO Token,Curve DAO Token,CRV,,Curve,Curve Finance,Curve,,
2859,6538.0,Curve DAO Token,Curve DAO Token,CRV,,Curve,Curve-Finance,Curve,,
2860,6538.0,Curve DAO Token,Curve DAO Token,CRV,,Curve DAO Token,Curve Finance,Curve,,
2861,6538.0,Curve DAO Token,Curve DAO Token,CRV,,Curve DAO Token,Curve-Finance,Curve,,
2862,6539.0,YAM v1,YAM v1,YAM,,YAM,,,,
2863,6539.0,YAM v1,YAM v1,YAM,,YAM V1,,,,
2864,6539.0,YAM v1,YAM v1,YAM,,YAM V3,,,,
2893,6597.0,Meme,Meme,MEME,,MEME,,,,
2904,6611.0,DuckDaoDime,DuckDaoDime,DDIM,,DuckDaoDime,,,,
2910,6622.0,Hakka.Finance,Hakka.Finance,HAKKA,,HAKKA,,,,
2911,6622.0,Hakka.Finance,Hakka.Finance,HAKKA,,Hakka Finance,,,,
2920,6636.0,Polkadot,Polkadot,DOT,,,,Polkadot,,
2941,6669.0,PowerPool,PowerPool,CVP,,Concentrated Voting Power,,PowerPool,,
2942,6669.0,PowerPool,PowerPool,CVP,,PowerPool,,PowerPool,,
2957,6694.0,Open Predict Token,Open Predict Token,OPT,,Open Predict Token,,,,
2958,6694.0,Open Predict Token,Open Predict Token,OPT,,OpenPredict,,,,
2964,6705.0,Lien,Lien,LIEN,,FairSwap,,,,
2965,6705.0,Lien,Lien,LIEN,,lien,,,,
2971,6718.0,Growth DeFi,Growth DeFi,GRO,,Growth,,,,
2972,6718.0,Growth DeFi,Growth DeFi,GRO,,GrowthDeFi,,,,
2973,6719.0,The Graph,The Graph,GRT,,,,,,The Graph
2978,6727.0,Reserve,Reserve,RSV,,Reserve,,,,
2994,6758.0,SushiSwap,SushiSwap,SUSHI,SushiSwap,SushiSwap,SushiSwap,SushiSwap,,
2995,6758.0,SushiSwap,SushiSwap,SUSHI,SushiSwap,SushiToken,SushiSwap,SushiSwap,,
3029,6839.0,KIMCHI.finance,KIMCHI.finance,KIMCHI,,KIMCHI,,,,
3030,6839.0,KIMCHI.finance,KIMCHI.finance,KIMCHI,,KIMCHI.finance,,,,
3033,6843.0,Radicle,Radicle,RAD,,,,Centrifuge,,
3040,6859.0,Harvest Finance,Harvest Finance,FARM,Harvest Finance,FARM Reward Token,Harvest Finance,Harvest Finance,,
3041,6859.0,Harvest Finance,Harvest Finance,FARM,Harvest Finance,FARM Reward Token,Harvest-Finance,Harvest Finance,,
3042,6859.0,Harvest Finance,Harvest Finance,FARM,Harvest Finance,Harvest,Harvest Finance,Harvest Finance,,
3043,6859.0,Harvest Finance,Harvest Finance,FARM,Harvest Finance,Harvest,Harvest-Finance,Harvest Finance,,
3072,6901.0,Swerve,Swerve,SWRV,,Swerve,Swerve Finance,Swerve Finance,,
3073,6901.0,Swerve,Swerve,SWRV,,Swerve,Swerve-Finance,Swerve Finance,,
3074,6901.0,Swerve,Swerve,SWRV,,Swerve DAO Token,Swerve Finance,Swerve Finance,,
3075,6901.0,Swerve,Swerve,SWRV,,Swerve DAO Token,Swerve-Finance,Swerve Finance,,
3090,6928.0,Bella Protocol,Bella Protocol,BEL,,Bella,,,,
3091,6929.0,Hegic,Hegic,HEGIC,Hegic,Hegic,HEGIC,Hegic,,
3099,6938.0,YFDAI.FINANCE,YFDAI.FINANCE,YF-DAI,,YfDAI,,,,
3106,6944.0,MilliMeter,MilliMeter,MM,,MMToken,,,,
3107,6945.0,Amp,Amp,AMP,,Amp,,,,
3109,6949.0,Hedget,Hedget,HGET,,Hedget,,,,
3110,6950.0,Perpetual Protocol,Perpetual Protocol,PERP,,Perpetual,,Perpetual Protocol,,
3112,6952.0,Frax,Frax,FRAX,,Frax,,,,
3113,6953.0,Frax Share,Frax Share,FXS,,Frax Share,,,,
3129,6974.0,Yeld Finance,Yeld Finance,YELD,,YIELD (yield.is),,,,
3140,6986.0,Squirrel Finance,Squirrel Finance,NUTS,,,,,Squirrel Finance,
3143,6991.0,Sashimi,Sashimi,SASHIMI,,SashimiSwap,,,,
3144,6991.0,Sashimi,Sashimi,SASHIMI,,SashimiToken,,,,
3147,6997.0,SakeToken,SakeToken,SAKE,,SakeSwap,,,,
3148,6997.0,SakeToken,SakeToken,SAKE,,SakeToken,,,,
3171,7022.0,Pickle Finance,Pickle Finance,PICKLE,,Pickle,Pickle Finance,,,
3172,7022.0,Pickle Finance,Pickle Finance,PICKLE,,Pickle,Pickle-Finance,,,
3173,7022.0,Pickle Finance,Pickle Finance,PICKLE,,PickleToken,Pickle Finance,,,
3174,7022.0,Pickle Finance,Pickle Finance,PICKLE,,PickleToken,Pickle-Finance,,,
3180,7033.0,Empty Set Dollar,Empty Set Dollar,ESD,,Empty Set Dollar,,,,
3181,7034.0,Golff,Golff,GOF,,Golff,,,,
3182,7034.0,Golff,Golff,GOF,,Golff.finance,,,,
3192,7046.0,Aavegotchi,Aavegotchi,GHST,,Aavegotchi,,,,
3193,7046.0,Aavegotchi,Aavegotchi,GHST,,Aavegotchi GHST Token,,,,
3204,7064.0,BakeryToken,BakeryToken,BAKE,,BakerySwap,,,Bakery Swap,
3211,7077.0,UniFi Protocol,UniFi Protocol,UP,,,,,UniFi Protocol,
3215,7083.0,Uniswap,Uniswap,UNI,Uniswap,Uniswap,Uniswap,Uniswap,,
3216,7083.0,Uniswap,Uniswap,UNI,Uniswap,Uniswap V1,Uniswap,Uniswap,,
3219,7087.0,Dego Finance,Dego Finance,DEGO,,Dego,,,,
3220,7087.0,Dego Finance,Dego Finance,DEGO,,dego.finance,,,,
3223,7094.0,dHedge DAO,dHedge DAO,DHT,,dHEDGE,dHEDGE,dHEDGE,,
3224,7094.0,dHedge DAO,dHedge DAO,DHT,,dHedge DAO Token,dHEDGE,dHEDGE,,
3230,7102.0,Linear,Linear,LINA,,Linear,,,Linear Finance,
3231,7102.0,Linear,Linear,LINA,,Linear Token,,,Linear Finance,
3250,7131.0,YAM v3,YAM v3,YAM,,Umbrella,,,,
3251,7131.0,YAM v3,YAM v3,YAM,,YAM,,,,
3252,7131.0,YAM v3,YAM v3,YAM,,YAM V1,,,,
3253,7131.0,YAM v3,YAM v3,YAM,,YAM V3,,,,
3257,7136.0,OneSwap DAO Token,OneSwap DAO Token,ONES,,OneSwap,,,,
3260,7143.0,DiFy.Finance,DiFy.Finance,YFIII,,DiFy,,,,
3261,7143.0,DiFy.Finance,DiFy.Finance,YFIII,,DiFy.Finance,,,,
3280,7168.0,xBTC,xBTC,xBTC,,xBTC,,,,
3281,7169.0,Chicken,Chicken,KFC,,Chicken,,,,
3290,7186.0,PancakeSwap,PancakeSwap,CAKE,,PancakeSwap,,PancakeSwap,pancake,
3291,7187.0,S.Finance,S.Finance,SFG,,S.Finance,,,,
3310,7216.0,Lua Token,Lua Token,LUA,,LuaSwap,,,,
3311,7216.0,Lua Token,Lua Token,LUA,,LuaToken,,,,
3315,7222.0,yAxis,yAxis,YAX,,yAxis,yAxis,,,
3318,7224.0,DODO,DODO,DODO,,DODO,DODO,DODO,DODO,
3319,7224.0,DODO,DODO,DODO,,DODO bird,DODO,DODO,DODO,
3320,7225.0,DeFiner,DeFiner,FIN,,DeFiner,DeFiner,,,
3322,7227.0,APY.Finance,APY.Finance,APY,,APY Governance Token,,,,
3323,7227.0,APY.Finance,APY.Finance,APY,,APY.Finance,,,,
3324,7228.0,DerivaDAO,DerivaDAO,DDX,,DerivaDAO,,,,
3325,7228.0,DerivaDAO,DerivaDAO,DDX,,DerivaDEX,,,,
3326,7228.0,DerivaDEX,DerivaDAO,DDX,,DerivaDEX,DerivaDEX,DerivaDEX,,
3327,7230.0,Opium,Opium,OPIUM,,Opium,Opium-Network,,,
3328,7230.0,Opium,Opium,OPIUM,,Opium Governance Token,Opium-Network,,,
3329,7231.0,Nsure.Network,Nsure.Network,NSURE,,Nsure Network,,,,
3330,7232.0,Alpha Finance Lab,Alpha Finance Lab,ALPHA,,Alpha Homora V2,,Alpha Finance,Alpha Homora,
3331,7232.0,Alpha Finance Lab,Alpha Finance Lab,ALPHA,,AlphaToken,,Alpha Finance,Alpha Homora,
3338,7242.0,cVault.finance,cVault.finance,CORE,,CoreVault,cvault.finance,,,
3339,7242.0,cVault.finance,cVault.finance,CORE,,cVault.finance,cvault.finance,,,
3363,7278.0,Aave,Aave,AAVE,Aave,Aave,Aave,Aave,,
3364,7278.0,Aave,Aave,AAVE,Aave,Aave Token,Aave,Aave,,
3365,7278.0,Aave,Aave,AAVE,Aave,Aave V1,Aave,Aave,,
3366,7278.0,Aave,Aave,AAVE,Aave,Aave V2,Aave,Aave,,
3368,7284.0,PieDAO DOUGH v2,PieDAO DOUGH v2,DOUGH,,PieDAO DOUGH v2,PieDAO,,,
3371,7288.0,Venus,Venus,XVS,,Venus,,Venus,Venus,
3385,7311.0,Beefy.Finance,Beefy.Finance,BIFI,,,,,Beefy.Finance,
3397,7326.0,DeXe,DeXe,DEXE,,DeXe,,,,
3405,7336.0,Index Cooperative,Index Cooperative,INDEX,,Index,Index Coop,Index Cooperative,,
3406,7336.0,Index Cooperative,Index Cooperative,INDEX,,Index,Index-Coop,Index Cooperative,,
3407,7336.0,Index Cooperative,Index Cooperative,INDEX,,Index Coop,Index Coop,Index Cooperative,,
3408,7336.0,Index Cooperative,Index Cooperative,INDEX,,Index Coop,Index-Coop,Index Cooperative,,
3428,7366.0,Stabilize,Stabilize,STBZ,,Stabilize,,,,
3429,7366.0,Stabilize,Stabilize,STBZ,,Stabilize Token,,,,
3430,7367.0,SnowSwap,SnowSwap,SNOW,,SnowSwap,Snowswap,,,
3431,7368.0,Power Index Pool Token,Power Index Pool Token,PIPT,,,PowerIndex,,,
3435,7376.0,Doki Doki Finance,Doki Doki Finance,DOKI,,Doki Doki,,,,
3436,7376.0,Doki Doki Finance,Doki Doki Finance,DOKI,,DokiDokiFinance,,,,
3439,7380.0,Dracula Token,Dracula Token,DRC,,Dracula,,,,
3440,7380.0,Dracula Token,Dracula Token,DRC,,Dracula Token,,,,
3441,7381.0,CoFiX,CoFiX,COFI,,CoFiX,,,,
3442,7382.0,ACoconut,ACoconut,AC,,,,,ACoconut,
3458,7404.0,Value Liquidity,Value Liquidity,VALUE,,Value DeFi,Value DeFi,,,
3459,7404.0,Value Liquidity,Value Liquidity,VALUE,,Value DeFi,Value Liquid,,,
3460,7404.0,Value Liquidity,Value Liquidity,VALUE,,Value DeFi,Value-DeFi,,,
