name,symbol,current_name,is_dead,new_symbol
BEPRO Network,BEPRO,BEPRO Network,,
BetProtocol,BEPRO,BEPRO Network,,
Bitcoin Free Cash,BFC,Bifrost (BFC),,
Bifrost,BFC,Bifrost (BFC),,
Bifrost (BFC),BFC,Bifrost (BFC),,
BitMax Token,BTMX,BTMX,,
AscendEX (BitMax) Token,BTMX,BTMX,,
BTMX,BTMX,BTMX,,
Bit-Z Token,BZ,BitZ Token,,
BitZ Token,BZ,BitZ Token,,
COVER Protocol[old],COVER,COVER Protocol,,
COVER Protocol,COVER,COVER Protocol,,
DerivaDAO,DDX,DerivaDAO,,
DerivaDEX,DDX,DerivaDAO,,
Unit Protocol Duck,DUCK,Duck DAO (DLP Duck Token),,
Duck DAO (DLP Duck Token,DUCK,Duck DAO (DLP Duck Token),,
Duck DAO (DLP Duck Token),DUCK,Duck DAO (DLP Duck Token),,
Duck DAO,DUCK,Duck DAO (DLP Duck Token),,
Flow,FLOW,Flow,,
Flow (Dapper labs),FLOW,Flow,,
nHBTC(N0001),HBTC,Huobi BTC,,
Huobi BTC,HBTC,Huobi BTC,,
ichi.farm,ICHI,ICHI,,
ICHI,ICHI,ICHI,,
Joule,JUL,JustLiquidity,,
JustLiquidity,JUL,JustLiquidity,,
KuCoin Shares,KCS,KuCoin Token,,
KuCoin Token,KCS,KuCoin Token,,
Matic Network,MATIC,Polygon,,
Polygon,MATIC,Polygon,,
Mainframe,MFT,Hifi Finance,,
Hifi Finance,MFT,Hifi Finance,,
Enzyme,MLN,Enzyme,,
Melon,MLN,Enzyme,,
MoonSwap,MOON,MoonSwap,,
Mooncoin,MOON,MoonSwap,,
Nash Exchange,NEX,Nash,,
Nash,NEX,Nash,,
Pundi X,NPXS,Pundi X[new],,PUNDIX
PAC Global,PAC,PAC Protocol,,
PAC Protocol,PAC,PAC Protocol,,
Paint,PAINT,MurAll,,
MurAll,PAINT,MurAll,,
Phala.Network,PHA,Phala Network,,
Phala Network,PHA,Phala Network,,
Plian,PI,Plian,,
PCHAIN,PI,Plian,,
Rubic,RBC,Rubic,,
Roti Bank Coin,RBC,Rubic,,
Rio DeFi,RFUEL,RioDeFi,,
RioDeFi,RFUEL,RioDeFi,,
Social Lending Token,SLT,Smartlands Network,,
Smartlands Network,SLT,Smartlands Network,,
StakeHound Staked Ether,STETH,stETH (Lido),,
stETH (Lido),STETH,stETH (Lido),,
stETH,STETH,stETH (Lido),,
Stox,STX,Stacks,,
Blockstack,STX,Stacks,,
Stacks,STX,Stacks,,
inSure,SURE,inSure DeFi,,
inSure DeFi,SURE,inSure DeFi,,
TrustToken,TRU,TrueFi,,
TrueFi,TRU,TrueFi,,
Terra Virtua Kolekt,TVK,Terra Virtua Kolect,,
Terra Virtua Kolect,TVK,Terra Virtua Kolect,,
Tixl [NEW],TXL,Tixl,,
Tixl,TXL,Tixl,,