symbol,name_in_cmc,name_in_debank,name_coingecko
$KING,King Swap,SWAP KING,King Swap
BABY,BabySwap,BabySwap,BabySwap
BABY,Babytoken,Babytoken,Baby Token
BAG,Basis Gold,Basis Gold,Basis Gold
BCS,Basiscoin Share,BCS,Basis Coin Share
BDO,bDollar,bDollar,bDollar
BLZDXBLZD,Blizzard.money,Blizzard.money,Blizzard
BSGS,,BSGS,Basis Gold Share
BSWAP,BSCswap,BSCswap,
BTCST,Bitcoin Standard Hashrate Token,BTCST,BTC Standard Hashrate Token
CYC,Cyclone Protocol,Cyclone,Cyclone Protocol
DEFI++,Defi,DeFi Plaza,PieDAO DEFI++
DEFI++,Defi,DeFi Saver,PieDAO DEFI++
DEX,DEX,DEX.AG,AlphaDex
DFYN,Dfyn Network,Dfyn,Dfyn Network
DOLLAR,Dollar International,Dollar,Dollar INTERNATIONAL
DOP,Dopple Finance,Dopple Finance,Dopple Finance
EZ,EasyFi,EasyFi,EasyFi V2
ELE,Elevate,Eleven,Eleven Finance
EXRD,,E-RADIX,e-Radix
FINIX,Definix,Definix,
FL,Freeliquid,FL,Freeliquid
FL,Freeliquid,Freeliquid,Freeliquid
FLTY,Fluity,Fluity,Fluity
FLEX,Flexacoin,Flexa,FLEX Coin
HFI,HecoFi,HFI.one,HecoFi
HYFI,Hyper Finance,HyFi.pro,Hyper Finance
ITGR,Integral,Integral,
KFC,Chicken,Chicken,Chicken
KLT,KLend,KLend,KLend
KRILL,Krill,Polywhale,Polywhale
KUN,KUN,Qian,QIAN Governance Token
LHB,Lendhub,Lendhub,Lendhub
LQDR,LIQUID,Liquid Driver,LiquidDriver
LUA,Lua Token,LuaSwap,LuaToken
LUA,Lua Token,LuaToken,LuaToken
MASH,Marshmallowdefi,Marshmallow,MarshmallowDeFi
MEE,Mercurity Swap Protocol,MEE Token,Mercurity Finance
MEE,Mercurity Swap Protocol,Mercurity,Mercurity Finance
MINI,MiniSwap,MINISWAP,Mini
MIS2,,MIS2,
NFTFY,Nftfy,NFTfi,
NSURE,,Nsure Network Token,Nsure Network
ONS,One Share,ONS,One Share
PANTHER,PantherSwap,PantherSwap,PantherSwap
PERL,Perlin,Perlin,PERL.eco
PERL,Perlin,PerlinX,PERL.eco
PHOON,Typhoon Cash,Typhoon,Typhoon Cash
PHOON,Typhoon Cash,TyphoonCash,Typhoon Cash
PIPI,Pippi Finance,Pippi Shrimp,Pippi Finance
PND,PandaSwap,PandaSwap,Pandacoin
QI,QiDao,QiDao,Qi Dao
QI,QiSwap,QiSwap,Qi Dao
QSD,Chemix,CHEMIX,
RABBIT,RabbitCoin,RabbitHole,Rabbit
REPv2,,Reputation,
SEED,TreeDefi,TreeDefi,TreeDefi
SFG,S.Finance,S.Finance,S.Finance
SHELL,Shell Protocol,Shell,
SOLO,Sologenic,SOLO.TOP,Sologenic
SPIRIT,SpiritSwap,SpiritSwap,SpiritSwap
SWAMP,Swampy,Swamp,Swampy
UFT,UniLend,UniLend,UniLend Finance
UNI,Universe,Universe,UNIVERSE Token
WAD,WardenSwap,WARDEN,Warden
XBLZD,Blizzard.money,Blizzard.money,Blizzard
SAT,Saturn,Saturn,Saturna
XUSD,XUSD Stable,XUSD,xDollar Stablecoin
YAXIS,yAxis,yAxis,yAxis
,,dYdX,
,,Connext,
,,DDEX,
,,DeversiFi,
INST,,InstaDapp,Instadapp
,,Nuo,
OBS,,OpenSea,OpenBiSea
,,ParaSwap,
,,Sablier,
,,TokenSets,
,,Opyn V1,
,,Async Art,
MTA,,mStable,mStable Governance Token: Meta
,,Totle,
,,Matcha,
MOON,,Mooniswap,MoonSwap
HNY,,Honeyswap,Honey
,,DeFi Swap,
KFC,,ChickenSwap,ChickenSwap
RGT,,Rari Capital,Rari Governance Token
,,STEROIDS,
,,acBTC,
IF,,ImpossibleFinance,Impossible Finance
BPRO,,B.Protocol,B.Protocol
,,Notional,
,,BITPIF,
,,Deerfi,
,,M.finance,
,,Sunflower Swap,
,,WePiggy,
,,Unisave,
,,HyperBC Farm,
COL,,unit protocol,Unit Protocol
UDAI,,Unagii,Unagii Dai
,,Basis Coin,
,,Opyn,
,,FIREDAO,
,,Saddle,
CMP,,component,Component
BAO,,Bao.Finance,Bao Finance
DOGES,,DogeSwap,Dogeswap
SMTY,,Smoothy,Smoothy
,,SmartDex,
,,ComethSwap,
,,Aave AMM,
BXH,,BXH,BXH Token
KINE,,Kine,Kine Protocol
FEI,,Fei Protocol,Fei Protocol
DMG,,dmm.exchange,DMM: Governance
,,PureSwap,
SBF,,SteakBank,SteakBank Finance
,,Elk,
BOO,,SpookySwap,Spookyswap
FTS,,Fortress,Fortress
,,Waka Swap,
COIN,,CoinSwap,Coin
UNI,,Uniswap V3,Uniswap
EST,,ester.finance,Ester Finance
WINGS,,JetSwap,JetSwap Token
AGVE,,Agave,Agave Token
KOKOMO,,KokomoSwap,Kokomo Token
RABBIT,,Rabbit Finance,Rabbit Finance
BSW,,Biswap,Biswap
MAKI,,MakiSwap,MakiSwap
,,SumSwap,
,,Firebird Finance,
,,SupremeX,
YELD,,PolyYeld,PolyYeld Token
PENDLE,,Pendle,Pendle
,,1sd,
,,ACO,
,,AIswap,
,,ApeRocket,
APW,,APWine,APWine
ARCX,,ARCx,ARC Governance
,,Artem,
,,BnEX,
,,bVaults,
,,Charm,
COW,,CoinWind,CoinWind
CVX,,Convex,Convex Finance
,,Debaseonomics,
,,DeFlast,
,,dex.blue,
,,Emoon,
EPX,,Emporium,EmporiumX
ESD,,Empty Set Gold,Empty Set Dollar
HUNNY,,HUNNY,Pancake Hunny
,,Incognito,
IRON,,IRON,Iron
,,Kwenta,
MERL,,Merlin,Merlin
,,Mesa,
,,MetaMask Swaps,
ONX,,OnX,OnX Finance
OOE,,OpenOcean,OpenOcean
,,Pegscash,
PCAKE,,PolyCake,PolyCake Finance
FISH,,Polycat,Polycat Finance
,,Polymarket,
PRV,,PrivacySwap,PrivacySwap
,,Ribbon,
SAT,,SatisFinance,SatisFinance
,,Tax Heaven,
,,Tinlake,
,,TRAMS,
,,Volmex,
,,Y3D,
,,Zelda,
ZER,,Zero Set Dollar,Zero
IRON,,IRON V2,Iron
GROW,,Growing.fi,Growing.fi
UNI,,Uniswap V1,Uniswap
,,dYdX,
BNT,,Bancor,Bancor Network Token
BZRX,,bZx,bZx Protocol
,,Connext,
,,DDEX,
,,DeversiFi,
KNC,,Kyber,Kyber Network Crystal
LEV,,Leverj,Leverj
LRC,,Loopring V1,Loopring 
NEST,,Nest,Nest Protocol
,,Nuo,
,,ParaSwap,
,,Sablier,
SNX,,Synthetix,Synthetix Network Token
,,TokenSets,
TORN,,Tornado,Tornado Cash
XDAI,,xDai,xDAI
AAVE,,Aave V1,Aave
CRV,,Curve,Curve DAO Token
,,Opyn V1,
,,Async Art,
,,DefiMoneyMarket,
UNI,,Uniswap V2,Uniswap
,,Totle,
FOR,,ForTube Bond,ForTube
,,Matcha,
DF,,dForce Yield Markets,dForce Token
SYFL,,YFLink,YFLink Synthetic
SUSHI,,SushiSwap,Sushi
ONE,,OneSwap,One
,,SakeSwap,
,,DeFi Swap,
SASHIMI,,SashimiSwap,Sashimi
,,BSCswap,
CVP,,PowerPool,PowerPool Concentrated Voting Power
DEGO,,Dego,Dego Finance
CORE,,CoreVault,cVault.finance
DHT,,dHEDGE,dHEDGE DAO
,,DeFiDollar,
,,STEROIDS,
,,Shell,
AAVE,,Aave V2,Aave
INDEX,,Index Coop,Index Cooperative
DRC,,Dracula,Dracula Token
SFI,,Saffron,saffron.finance
YF-DAI,,YfDAI,YfDAI.finance
ORAI,,Orai,Oraichain Token
,,acBTC,
YLD,,YIELD (yield.is),Yield
,,Notional,
,,BITPIF,
KP3R,,Keep3r,Keep3rV1
MPH,,88mph V1,88mph
MUSH,,Mushrooms,Mushroom
,,FairSwap,
,,Deerfi,
,,M.finance,
,,Sunflower Swap,
,,WePiggy,
RAMP,,RAMP DEFI,RAMP
,,Unisave,
ICHI,,ichi.farm,ICHI
SWISS,,SWISS,swiss.finance
EXRD,,Radix,e-Radix
MARK,,Benchmark(MARK),Benchmark Protocol 
MPH,,88mph V2,88mph
,,HyperBC Farm,
GRO,,GrowthDeFi,GROWTH DeFi
DSD,,DSD,Dynamic Set Dollar
,,Base,
MIR,,Mirror,Mirror Protocol
DDX,,DerivaDEX,DerivaDAO
NDX,,Indexed,Indexed Finance
WARP,,Warp,Warp Finance
YVS,,YVS,YVS Finance
,,unn,
DDIM,,DuckDao,DuckDaoDime
ZAI,,ZAI V1,Zero Collateral Dai
USF,,Unslashed,Unslashed Finance
BCS,,Basis Coin,Basis Coin Share
MITH,,MITH.CASH,Mithril
,,Opyn,
DEP,,Depth,Depth Token
FIRE,,FIREDAO,FIRE
UMX,,Unimex,UniMex Network
DAIQ,,Daiq,Daiquilibrium
Kebab Token,,Kebab,KEBAB
,,Saddle,
BREW,,CafeSwap,CafeSwap Token
BANANA,,ApeSwap,ApeSwap Finance
FLX,,Reflexer,Reflexer Ungovernance Token
WAULTX,,Wault,Wault
,,X SIGMA,
DF,,dForce,dForce Token
DFT,,dfuture,dfuture
NRV,,Nerve,Nerve Finance
STN,,STONE,Stone Token
,,SmartDex,
,,ComethSwap,
,,Aave AMM,
,,CHEMIX,
FLOAT,,Float,Float Protocol: Float
,,Integral,
HZN,,Horizon,Horizon Protocol
ICE,,Popsicle,Popsicle Finance
,,Definix,
KNC,,KyberDMM,Kyber Network Crystal
,,PureSwap,
,,Elk,
BAL,,Balancer V2,Balancer
ADDY,,Adamant,Adamant
,,Waka Swap,
,,SumSwap,
,,Firebird Finance,
,,SupremeX,
1INCH,,1inch V1,1inch
,,1sd,
,,ACO,
ADD,,ADD.XYZ,Add.xyz (NEW)
,,AIswap,
,,Alpha Homora,
,,Alpha Homora V2,
,,ApeRocket,
,,Artem,
,,AutoFarm,
BAND,,Band,Band Protocol 
BIFI,,Beefy,Beefy.Finance
BEL,,Bella,Bella Protocol
BELT,,Belt.fi,Belt
,,BnEX,
BOND,,Bonded,Bonded Finance
BUNNY,,Bunny,BunnyToken
,,bVaults,
BZRX,,bZx V1,bZx Protocol
,,Charm,
COVER,,COVER,Cover Protocol
CREAM,,Cream V2,Cream
,,Debaseonomics,
,,DeFlast,
,,dex.blue,
YFII,,DFI.Money (YFII),DFI.money
DF,,dForce Trade,dForce Token
YFIII,,DiFy,Dify.Finance
,,Emoon,
FRM,,Ferrum,Ferrum Network
FOR,,ForTube Bank V1,ForTube
FARM,,Harvest,Harvest Finance
HELMET,,Helmet,Helmet Insure
,,HubrisOne X,
,,Incognito,
INV,,Inverse,Inverse Finance
JRT,,Jarvis Network,Jarvis Reward Token
KEEP,,Keep,Keep Network
,,Kwenta,
LIDO,,LIDO,Lido DAO
MHSP,,Melon,MelonHeadSProtocol
,,Mesa,
,,MetaMask Swaps,
MONA,,Mona,MonaCoin
N3RDZ,,N3rd,N3RD Finance
,,NFTfi,
OPT,,OpenPredict,OpenPredict Token
PBTC,,pBTC,pTokens BTC
PEGS,,Pegscash,PegShares
PERP,,Perpetual,Perpetual Protocol
PICKLE,,Pickle,Pickle Finance
DEFI++,,PieDAO,PieDAO DEFI++
,,Polymarket,
RAY,,RAY,Raydium
RFI,,Reflect,reflect.finance
,,Ribbon,
SAFE,,SAFE,Safe
STKR,,Stkr,Staker DAO
,,Tax Heaven,
,,Tinlake,
,,TRAMS,
VSP,,Vesper,Vesper Finance
,,Volmex,
XDEX,,XDEFI,XDEFI Governance Token
,,Y3D,
YFI,,Yearn,yearn.finance
YFI,,Yearn V2,yearn.finance
YFII,,YFII,DFI.money
ZAI,,ZAI V2,Zero Collateral Dai
,,Zelda,
,,ShibaSwap,