symbol,name_in_cmc,name_in_debank,name_in_coingecko
DEX,DEX,DEX.AG,Alpha Finance
,,Async Art,AirSwap
UNI,Uniswap,Uniswap V2,Bounce
DFYN,Dfyn Network,Dfyn,Bounce
,,ImpossibleFinance,Badger DAO
,,BITPIF,
$KING,King Swap,SWAP KING,BakerySwap
DEP,Depth Token,Depth,
KEBAB,Kebab Token,Kebab,
BREW,CafeSwap Token,CafeSwap,Basis Dollar
BANANA,ApeSwap Finance,ApeSwap,Basis Dollar Share
BTCST,Bitcoin Standard Hashrate Token,BTCST,
WAULT,Wault Finance (OLD),Wault,BT.Finance
PND,PandaSwap,PandaSwap,BunnyToken
,,SmartDex,bZx Protocol
,,ComethSwap,bZx Protocol
CYC,Cyclone Protocol,Cyclone,PowerPool Concentrated Voting Power
WAD,WardenSwap,WARDEN,PowerPool Concentrated Voting Power
PIPI,Pippi Finance,Pippi Shrimp,DEXTF
QSD,Chemix,CHEMIX,DEXTF
,,BXH,dForce Token
ITGR,Integral,Integral,dForce Token
HZN,Horizon Protocol,Horizon,dForce Token
ICE,Popsicle Finance,Popsicle,dForce Token
FINIX,Definix,Definix,DeFiat
KNC,Kyber Network Crystal Legacy,KyberDMM,Doki Doki
,,SteakBank,Doki Doki
MASH,Marshmallowdefi,Marshmallow,
,,Elk,DOS Network
,,SpookySwap,DLP Duck Token
,,Fortress,Equalizer
BAL,Balancer,Balancer V2,e-Radix
KRILL,Krill,Polywhale,Harvest Finance
ADM,ADAMANT Messenger,Adamant,
PANTHER,PantherSwap,PantherSwap,
SPIRIT,SpiritSwap,SpiritSwap,Fair Safe
,,Waka Swap,
,,CoinSwap,Themis Network
FLTY,Fluity,Fluity,Golff
QI,QiDao,QiDao,Golff
UNI,Uniswap,Uniswap V2,Geyser
,,ester.finance,Geyser
,,JetSwap,Hakka Finance
LIQUID,LIQUID,Liquid Driver,Hakka Finance
,,KokomoSwap,Helmet Insure
,,Rabbit Finance,Jarvis Reward Token
,,Biswap,
,,SumSwap,KIMCHI.finance
BABY,BabySwap,BabySwap,KIMCHI.finance
,,Firebird Finance,
,,SupremeX,Lido DAO
DEFI,Defi,DeFi Plaza,Lever Network
,,AIswap,Benchmark Protocol
,,ApeRocket,
BIFI,Beefy.Finance,Beefy,
,,bVaults,Mithril Cash
,,CoinWind,
,,Convex,Themis
DEFI,Defi,DeFi Saver,Themis
,,dex.blue,MM Token
ELE,Elevate,Eleven,
,,HUNNY,
HYFI,Hyper Finance,HyFi.pro,Nsure Network
,,IRON,
,,Merlin,OPEN Governance Token
,,OnX,OPEN Governance Token
,,PolyCake,OpenPredict Token
,,Polycat,OpenPredict Token
,,PrivacySwap,Percent
,,Ribbon,
,,SatisFinance,
SOLO,Sologenic,SOLO.TOP,Perpetual Protocol
SWAMP,Swampy,Swamp,
,,Tinlake,
YFII,DFI.Money,YFII,
HFI,HecoFi,HFI.one,Rootkit
SHIB,SHIBA INU,ShibaSwap,Reserve Rights Token
,,,Stand Cash
,,,SafeCoin
,,,SAFE2
,,,Stand Share
,,,Stake DAO
,,,
,,,
,,,xSigma
,,,xDAI Stake
,,,
,,,Stone Token
,,,
,,,swiss.finance
,,,swiss.finance
,,,SynLev
,,,Team Finance
,,,
,,,UNION Protocol Governance Token
,,,Value DeFi
,,,Value DeFi
,,,Wrapped XDAI
,,,XDEFI Governance Token
,,,OASIS
,,,
,,,
,,,YAM
,,,YAM
,,,YAM
,,,YAM
,,,YAM
,,,YAM
,,,YAM
,,,yearn.finance
,,,yearn.finance
,,,Dify.Finance
,,,YieldX
,,,YVS Finance
,,,YVS Finance