Date,liquidity,volume,fees(24hr),revenues
8/8/21,27053101.01,,,
8/9/21,26416781.78,1418956.68,,
8/10/21,25055401.43,1326369.61,,
8/11/21,23468591.3,971290.74,,
8/12/21,23130892.86,737123.18,,
8/13/21,23052328.38,819679.08,,
8/14/21,22914748.34,599596.18,,
8/15/21,20760033.06,1533653.16,,
8/16/21,24340431.69,3723993.98,,
8/17/21,24333953.07,6427245.27,,
8/18/21,26735466.84,10880539.18,,
8/19/21,39442373.31,19559579.83,,
8/20/21,55863176.13,70674816.33,,
8/21/21,70931915.09,40906934.19,,
8/22/21,159882239.9,67280362.68,32858.3,164291.5
8/23/21,182559832.9,128296476.1,37633.97,188169.85
8/24/2021,197025611.8,38815019.84,73181.88,365909.4