,missing_project,data_source,reported_on,mapped_on,cgk_symbol,cgk_name
0,AlitaSwap,Debank,2021-08-19,,ALI,Alita
1,Alpha Tokenomics,Debank,2021-08-20,,ALPHA,Alpha Finance
2,BurgerSwap,Debank,2021-08-19,,BURGER,Burger Swap
3,Dopex,Debank,2021-08-19,,DPX,Dopex
4,JSwap,Debank,2021-08-21,,,
5,NAOS,Debank,2021-08-20,,NAOS,NAOS Finance
6,Piggy,Debank,2021-08-21,,PIGGY,Piggy Bank Token
7,Piggy Finance,defistation,2021-08-18,,PIGGY,Piggy Bank Token
8,Saber,solanaprojects,2021-08-19,,SBR,Saber
9,SCREAM,Debank,2021-08-19,,SCREAM,Scream