pair,liquidity,vol_24h,fee_24h,apr
WETH.e-WAVAX,"$41,419,381 ","$11,943,263 ","$29,858 ",26.31% 
WAVAX-USDT.e,"$38,065,026 ","$33,196,089 ","$82,990 ",79.58% 
JOE-WAVAX,"$18,312,310 ","$15,354,219 ","$38,386 ",76.51% 
LINK.e-WAVAX,"$15,210,796 ","$1,925,878 ","$4,815 ",11.55% 
USDT.e-DAI.e,"$14,122,503 ","$2,930,974 ","$7,327 ",18.94% 
WBTC.e-WAVAX,"$14,047,878 ","$2,583,784 ","$6,459 ",16.78% 
WAVAX-DAI.e,"$13,838,458 ","$4,842,054 ","$12,105 ",31.93% 
YAK-WAVAX,"$10,793,459 ","$5,881,885 ","$14,705 ",49.73% 
WAVAX-SNOB,"$5,944,619 ","$2,466,764 ","$6,167 ",37.86% 
JOE-USDT.e,"$5,074,034 ","$4,294,636 ","$10,737 ",77.23% 
WAVAX-XAVA,"$4,213,340 ","$705,621 ","$1,764 ",15.28% 
WETH.e-USDT.e,"$2,938,860 ","$984,754 ","$2,462 ",30.58% 
PNG-WAVAX,"$2,208,907 ","$744,533 ","$1,861 ",30.76% 
WBTC.e-USDT.e,"$2,101,807 ","$446,626 ","$1,117 ",19.39% 
WET-WAVAX,"$2,047,938 ","$215,007 ",$537.52 ,9.58% 
LINK.e-USDT.e,"$1,756,003 ","$492,191 ","$1,230 ",25.58% 
WAVAX-PEFI,"$1,644,085 ","$1,294,958 ","$3,237 ",71.87% 
SHERPA-WAVAX,"$1,600,802 ","$520,255 ","$1,301 ",29.66% 
VSO-WAVAX,"$1,575,160 ","$594,046 ","$1,485 ",34.41% 
HUSKY-WAVAX,"$1,357,128 ","$4,769,244 ","$11,923 ",321% 
WAVAX-ELK,"$760,778 ","$516,050 ","$1,290 ",61.90% 
WAVAX-LINK,"$691,348 ","$142,205 ",$355.51 ,18.77% 
RELAY-WAVAX,"$277,071 ","$46,595 ",$116.49 ,15.35% 
SPORE-WAVAX,"$126,584 ","$5,230 ",$13.07 ,3.77% 
WAVAX-OPMN,"$65,858 ",$311.53 ,$0.78 ,0.43% 
AVE-WAVAX,"$56,057 ","$16,062 ",$40.16 ,26.15% 
JOE-USDT,"$42,559 ",$0.00 ,$0.00 ,0% 
WAVAX-NEKO,"$19,617 ","$48,356 ",$120.89 ,225% 
PNG-JOE,"$14,509 ",$0.00 ,$0.00 ,0% 
QI-WAVAX,"$13,265 ","$28,332 ",$70.83 ,195% 
WAVAX-ETH,"$7,691 ","$28,943 ",$72.36 ,343% 
LYD-WAVAX,"$7,484 ","$3,495 ",$8.74 ,42.62% 
HAT-WAVAX,"$7,293 ","$2,823 ",$7.06 ,35.32% 
WAVAX-USDT,"$7,130 ","$16,764 ",$41.91 ,215% 
ALGOR-WAVAX,"$5,273 ",$0.0268 ,< $0.0001 ,0% 
WBTC-WAVAX,"$4,769 ","$1,442 ",$3.60 ,27.59% 
AVXT-WAVAX,"$3,157 ","$7,420 ",$18.55 ,214% 
CORGI-WAVAX,"$2,987 ",$92.32 ,$0.23 ,2.82% 
DAI-USDT,"$1,953 ",$0.00 ,$0.00 ,0% 
JOE-DAI,"$1,857 ",$0.00 ,$0.00 ,0% 
WAVAX-DAI,$241.85 ,$134.08 ,$0.34 ,50.59% 
WAVAX-ðŸ†,$168.28 ,$0.00 ,$0.00 ,0% 
CYCLE-WAVAX,$139.86 ,$0.00 ,$0.00 ,0% 
DAI.e-PEFI,$121.68 ,$24.52 ,$0.0613 ,18.39% 
SFI-JOE,$49.42 ,$0.00 ,$0.00 ,0% 
YAK-JOE,$45.61 ,$0.00 ,$0.00 ,0% 
SFI-WAVAX,$28.73 ,$5.41 ,$0.0135 ,17.17% 
LINK-USDT,$21.51 ,$0.00 ,$0.00 ,0% 
NAKAMOTO-WAVAX,$10.27 ,$0.00 ,$0.00 ,0% 
SUSHI-WAVAX,$10.04 ,$0.71 ,$0.0018 ,6.42% 
SL3-JOE,$7.41 ,$0.00 ,$0.00 ,0% 
SL3-WAVAX,$7.34 ,$0.00 ,$0.00 ,0% 
PNG-VSO,$6.19 ,$0.00 ,$0.00 ,0% 
SHIBX-WAVAX,$3.62 ,$0.00 ,$0.00 ,0% 
WAVAX-LUX,$0.26 ,$0.00 ,$0.00 ,0% 
SNOB-PEFI,$0.13 ,$0.00 ,$0.00 ,0% 
WBTC-USDT,$0.0543 ,$0.00 ,$0.00 ,0% 
WAVAX-ADFI,$0.0363 ,$0.00 ,$0.00 ,0% 
LINK-PEFI,$0.0258 ,$0.00 ,$0.00 ,0% 
YAK-mYAK,$0.0128 ,$0.00 ,$0.00 ,0% 
GRT.e-WAVAX,$0.0015 ,$0.00 ,$0.00 ,0% 
USDT-ETH,< $0.0001 ,$0.00 ,$0.00 ,0% 
WAVAX-GDL,$0.00 ,$0.00 ,$0.00 ,0% 
SWRUNK-WAVAX,$0.00 ,$0.00 ,$0.00 ,0% 
PNG-LINK,$0.00 ,$0.00 ,$0.00 ,0% 
WAVAX-TEN,$0.00 ,$0.00 ,$0.00 ,0% 
AVNGR-WAVAX,$0.00 ,$0.00 ,$0.00 ,0% 
WAVAX-USELESS,$0.00 ,$0.00 ,$0.00 ,0% 
JOE-WET,$0.00 ,$0.00 ,$0.00 ,0% 
PNG-SNOB,$0.00 ,$0.00 ,$0.00 ,0% 
PNG-DAI,$0.00 ,$0.00 ,$0.00 ,0% 
DALTON-WAVAX,$0.00 ,$0.00 ,$0.00 ,0% 
shit-WAVAX,$0.00 ,$0.00 ,$0.00 ,0% 
PNG-XAVA,$0.00 ,$0.00 ,$0.00 ,0% 
AVME-WAVAX,$0.00 ,$0.00 ,$0.00 ,0% 
