tvl,apr,where,network,pair1,pair2
187696956,11.01,Pangolin,ETH,PNG,WAVAX
50915377,94.00,Pangolin,ETH,WETH.e,WAVAX
41292652,55.20,Pangolin,ETH,QI,WAVAX
11865020,6.97,Pangolin,ETH,WAVAX,ETH
11393745,36.98,Pangolin,ETH,WAVAX,XAVA
10504021,504,Pangolin,ETH,WAVAX,USDT.e
5720850,78.25,Pangolin,ETH,PNG,SNOB
4816427,182,Pangolin,ETH,WAVAX,PEFI
4279721,29.06,Pangolin,ETH,SNOB,PEFI
4105609,81.24,Pangolin,ETH,YAK,WAVAX
4020134,77.58,Pangolin,ETH,PNG,PEFI
3882156,218,Pangolin,ETH,WAVAX,DAI.e
3872951,8.20,Pangolin,ETH,WALBT,WAVAX
3510426,77.50,Pangolin,ETH,WBTC.e,WAVAX
2611230,4.35,Pangolin,ETH,DYP,WAVAX
2353011,101,Pangolin,ETH,LINK.e,WAVAX
1704755,66.64,Pangolin,ETH,CYCLE,WAVAX
1576121,16.66,Pangolin,ETH,WET,WAVAX
1538314,5.03,Pangolin,ETH,SUSHI,PEFI
1359057,50.43,Pangolin,ETH,WETH.e,PNG
1259935,143,Pangolin,ETH,WAVAX,USDT
1087514,30.39,Pangolin,ETH,LINK,PEFI
1025942,30.24,Pangolin,ETH,DAI,PEFI
1006489,26.87,Pangolin,ETH,AVME,WAVAX
992415,53.30,Pangolin,ETH,WAVAX,LINK
932919,98.46,Pangolin,ETH,AVE,WAVAX
907550,111,Pangolin,ETH,VSO,WAVAX
848257,10.52,Pangolin,ETH,SPORE,WAVAX
693485,30.76,Pangolin,ETH,SUSHI.e,WAVAX
657459,92.31,Pangolin,ETH,SHERPA,WAVAX
590777,50.57,Pangolin,ETH,WAVAX,SNOB
586447,6.23,Pangolin,ETH,PNG,SPORE
522184,87.76,Pangolin,ETH,PNG,USDT.e
504617,63.51,Pangolin,ETH,WAVAX,GDL
465414,48.38,Pangolin,ETH,PNG,QI
424769,36.75,Pangolin,ETH,PNG,VSO
376746,35.83,Pangolin,ETH,WBTC,WAVAX
362549,23.65,Pangolin,ETH,PNG,SHERPA
344182,24.16,Pangolin,ETH,LINK.e,PNG
329876,23.09,Pangolin,ETH,PNG,XAVA
322341,599,Pangolin,ETH,HUSKY,WAVAX
282249,36.83,Pangolin,ETH,PNG,AAVE.e
280201,132,Pangolin,ETH,WAVAX,DAI
250993,14.86,Pangolin,ETH,PNG,ETH
226028,27.05,Pangolin,ETH,AVE,SHERPA
214058,35.19,Pangolin,ETH,AAVE.e,WAVAX
204651,0.02,Pangolin,ETH,DOGEHR,WAVAX
202653,60.15,Pangolin,ETH,PNG,USDT
192920,51.94,Pangolin,ETH,PNG,DAI.e
191428,31.06,Pangolin,ETH,WBTC.e,PNG
188702,23.38,Pangolin,ETH,UNI.e,WAVAX
182186,36.80,Pangolin,ETH,RUGPULL,WAVAX
181376,7.94,Pangolin,ETH,WAVAX,aaBLOCK
166236,46.59,Pangolin,ETH,AVE,PEFI
151230,10.55,Pangolin,ETH,TRYB,WAVAX
147684,75.26,Pangolin,ETH,SUSHI,WAVAX
142784,1.71,Pangolin,ETH,WAVAX,UNI
134622,164,Pangolin,ETH,TUNDRA,WAVAX
128819,28.44,Pangolin,ETH,HOOP,WAVAX
115451,110,Pangolin,ETH,LYD,WAVAX
110251,10.06,Pangolin,ETH,YFI.e,WAVAX
97195,397,Pangolin,ETH,SHIBX,WAVAX
91330,320,Pangolin,ETH,GAJ,WAVAX
85462,35.24,Pangolin,ETH,WAVAX,CABAG
84787,3.70,Pangolin,ETH,WAVAX,FXS
76506,436,Pangolin,ETH,WAVAX,NEKO
67901,51.67,Pangolin,ETH,LINK.e,PEFI
67803,3.75,Pangolin,ETH,WAVAX,OPMN
65990,236,Pangolin,ETH,JOE,WAVAX
65066,51.01,Pangolin,ETH,WAVAX,FRAX
63464,37.67,Pangolin,ETH,DAI,USDT
59294,76.29,Pangolin,ETH,PNG,LINK
58251,1.71,Pangolin,ETH,PNG,UNI
55348,5.72,Pangolin,ETH,PNG,aaBLOCK
54773,14.85,Pangolin,ETH,AAVE,WAVAX
53788,50.95,Pangolin,ETH,WBTC,PNG
50210,344,Pangolin,ETH,ICE,WAVAX
46875,8.05,Pangolin,ETH,💎,WAVAX
46852,13.59,Pangolin,ETH,WAVAX,🐆
44033,19.26,Pangolin,ETH,SUSHI.e,PNG
41722,171,Pangolin,ETH,SFI,WAVAX
38933,40.04,Pangolin,ETH,PNG,DAI
37114,14.56,Pangolin,ETH,PNG,UNI.e
34223,68.98,Pangolin,ETH,YAK,PNG
29639,297,Pangolin,ETH,AVXT,WAVAX
28147,5.62,Pangolin,ETH,KEBAB,WAVAX
26484,32.02,Pangolin,ETH,AKBASH,WAVAX
25012,80.99,Pangolin,ETH,USDC.e,WAVAX
24865,41.02,Pangolin,ETH,SUSHI,PNG
23419,5.11,Pangolin,ETH,WAVAX,♀
21898,8.62,Pangolin,ETH,PNG,WALBT
21189,13.63,Pangolin,ETH,SPORE,SNOB
21031,34.00,Pangolin,ETH,BNB,WAVAX
20587,6.25,Pangolin,ETH,PNG,AAVE
18265,8.99,Pangolin,ETH,WAVAX,BIFI
16768,52.78,Pangolin,ETH,CORGI,WAVAX
15963,0,Pangolin,ETH,LOUIS,WAVAX
15595,1.75,Pangolin,ETH,EMIN,WAVAX
14536,14.93,Pangolin,ETH,SNOB,aaBLOCK
13047,1.45,Pangolin,ETH,YFI,WAVAX
144516133,1.40,QuickSwap,ETH,USDC,WETH
119959867,1.02,QuickSwap,ETH,WMATIC,WETH
96735296,0.12,QuickSwap,ETH,WBTC,WETH
80769392,0.09,QuickSwap,ETH,USDC,miMATIC
46467060,0.33,QuickSwap,ETH,WETH,AAVE
46081357,1.17,QuickSwap,ETH,WETH,USDT
33886485,0.42,QuickSwap,ETH,USDC,USDT
32516998,0.20,QuickSwap,ETH,LINK,WETH
31640370,4.01,QuickSwap,ETH,WMATIC,USDC
30849962,1.37,QuickSwap,ETH,WETH,DAI
30326901,1.95,QuickSwap,ETH,WMATIC,QUICK
21633133,0.14,QuickSwap,ETH,USDC,DAI
18153951,1.76,QuickSwap,ETH,WETH,QUICK
16157027,0.93,QuickSwap,ETH,WETH,ADDY
15857399,1.52,QuickSwap,ETH,WBTC,USDC
15106739,1.31,QuickSwap,ETH,GHST,WETH
12071599,1.26,QuickSwap,ETH,polyBUNNY,WETH
10632568,0.54,QuickSwap,ETH,WETH,UNI
9815101,1.61,QuickSwap,ETH,QUICK,TEL
8854044,3.11,QuickSwap,ETH,USDC,QUICK
7857881,1.73,QuickSwap,ETH,WETH,TEL
6567893,0.51,QuickSwap,ETH,WETH,DINO
5677547,1.40,QuickSwap,ETH,USDC,GHST
5670362,0.46,QuickSwap,ETH,BEL,WETH
5501372,0.45,QuickSwap,ETH,WETH,CEL
5351564,0.41,QuickSwap,ETH,GHST,QUICK
5040314,1.12,QuickSwap,ETH,NEXO,WETH
5002203,0.99,QuickSwap,ETH,WETH,RAMP
4903532,1.93,QuickSwap,ETH,USDC,TEL
4120788,0.18,QuickSwap,ETH,DAI,USDT
3119525,1.22,QuickSwap,ETH,USDC,$DG
2950630,0.62,QuickSwap,ETH,WETH,BIFI
2880628,1.55,QuickSwap,ETH,WMATIC,TEL
2854329,3.16,QuickSwap,ETH,WETH,UBT
2775230,0.75,QuickSwap,ETH,GFARM2,DAI
2620162,0.44,QuickSwap,ETH,WETH,renDOGE
2463005,0.68,QuickSwap,ETH,USDC,rUSD
2296956,10.92,QuickSwap,ETH,WMATIC,SOL
2234185,7.18,QuickSwap,ETH,WMATIC,AVAX
2016503,0.15,QuickSwap,ETH,WMATIC,mOCEAN
2012533,0,QuickSwap,ETH,WMATIC,CYC
1947973,0.33,QuickSwap,ETH,QUICK,UNI
1766588,1.62,QuickSwap,ETH,WOO,WETH
1725577,1.33,QuickSwap,ETH,PAUTO,QUICK
1723653,1.48,QuickSwap,ETH,WETH,PAUTO
1648865,0.10,QuickSwap,ETH,USDC,FOR
1594835,1.64,QuickSwap,ETH,QUICK,RELAY
1561006,1.15,QuickSwap,ETH,USDC,PBNB
1549787,0.13,QuickSwap,ETH,USDC,maUSDC
1407878,0,QuickSwap,ETH,WMATIC,XZAR
1398155,0.64,QuickSwap,ETH,USDC,O3
1371057,0.74,QuickSwap,ETH,START,QUICK
1346123,2.28,QuickSwap,ETH,GNO,WETH
1281402,0.31,QuickSwap,ETH,LINK,QUICK
1212048,0.03,QuickSwap,ETH,WETH,WISE
1208452,1.29,QuickSwap,ETH,WBTC,TEL
1197835,0.83,QuickSwap,ETH,VISION,WETH
1179710,0.07,QuickSwap,ETH,WETH,GET
1177571,5.44,QuickSwap,ETH,USDC,DNXC
1122145,4.74,QuickSwap,ETH,WMATIC,SIM
1094186,0.65,QuickSwap,ETH,USDC,REVV
1049925,0.34,QuickSwap,ETH,WMATIC,ELE
1038600,1.46,QuickSwap,ETH,USDC,FEAR
1033274,0.26,QuickSwap,ETH,WMATIC,gNFT
971763,0.02,QuickSwap,ETH,WMATIC,WAVE
966103,1.24,QuickSwap,ETH,USDC,CIOTX
914469,6.42,QuickSwap,ETH,WMATIC,USDT
897076,0.89,QuickSwap,ETH,QI,QUICK
896213,9.46,QuickSwap,ETH,WMATIC,PYR
878958,1.12,QuickSwap,ETH,WMATIC,ERN
854550,0.54,QuickSwap,ETH,PBNB,QUICK
810849,0.34,QuickSwap,ETH,polyBUNNY,QUICK
772016,1.73,QuickSwap,ETH,EGG,USDC
767134,0.75,QuickSwap,ETH,NEXO,QUICK
731989,0.27,QuickSwap,ETH,renDGB,WETH
715633,0.49,QuickSwap,ETH,WMATIC,KOGECOIN
713194,0.04,QuickSwap,ETH,QUICK,GAME
701601,0.68,QuickSwap,ETH,WOO,QUICK
685724,0.05,QuickSwap,ETH,QUICK,WISE
672932,0.55,QuickSwap,ETH,WETH,MOCA
667398,0.02,QuickSwap,ETH,USDC,MOD
659294,5.40,QuickSwap,ETH,USDC,YAMP
657170,0.41,QuickSwap,ETH,WETH,FFF
656500,0,QuickSwap,ETH,WMATIC,YAYO
648359,0.90,QuickSwap,ETH,USDC,ADS
646047,0.24,QuickSwap,ETH,ADS,QUICK
628369,0.08,QuickSwap,ETH,USDC,SDO
619934,0.13,QuickSwap,ETH,USDC,MOCA
619020,1.17,QuickSwap,ETH,WMATIC,iFARM
616140,0.18,QuickSwap,ETH,COMBO,WETH
598293,0.15,QuickSwap,ETH,DEFI5,WETH
589291,0.32,QuickSwap,ETH,QUICK,BIFI
573937,1.55,QuickSwap,ETH,$DG,WETH
571104,0.02,QuickSwap,ETH,GOVI,WETH
562095,0,QuickSwap,ETH,WMATIC,SALE
557417,0.47,QuickSwap,ETH,REVV,QUICK
547698,0.08,QuickSwap,ETH,WETH,DSLA
530669,0.04,QuickSwap,ETH,WETH,CC10
518326,0,QuickSwap,ETH,USDC,sUSDC
509125,0.04,QuickSwap,ETH,WMATIC,WOLF
505281,1.86,QuickSwap,ETH,WMATIC,HT
498480,0.01,QuickSwap,ETH,WETH,PLA
497820,0,QuickSwap,ETH,USDT,STN
494601,0.01,QuickSwap,ETH,POOL,WETH
470029,0.11,QuickSwap,ETH,DEFI5,QUICK
450539,0.03,QuickSwap,ETH,WETH,DEGEN
449720,8.01,QuickSwap,ETH,WMATIC,SHI3LD
439418,12.54,QuickSwap,ETH,USDC,SHI3LD
436491,1.31,QuickSwap,ETH,CGG,QUICK
434070,0,QuickSwap,ETH,WETH,VIDYA
426532,6.61,QuickSwap,ETH,QUICK,YAMP
425533,15.48,QuickSwap,ETH,USDC,MOONED
408173,0,QuickSwap,ETH,PENKY,USDT
406579,0.01,QuickSwap,ETH,DAO1,USDT
403223,2.88,QuickSwap,ETH,QUICK,PolyDoge
394444,0.06,QuickSwap,ETH,WMATIC,WHIRL
379098,4.65,QuickSwap,ETH,WETH,SUPER
368200,3.47,QuickSwap,ETH,MEEB,WETH
367669,0.11,QuickSwap,ETH,SCA,WETH
364193,0,QuickSwap,ETH,WETH,eQUAD
359471,8.73,QuickSwap,ETH,USDC,ARCADIUM
359439,4.46,QuickSwap,ETH,USDC,WBUSD
352622,15.00,QuickSwap,ETH,ANGEL,WMATIC
341259,0.85,QuickSwap,ETH,SSGT,USDT
340455,0,QuickSwap,ETH,WMATIC,SIMP
335940,3.60,QuickSwap,ETH,WMATIC,pSWAMP
332748,50.70,QuickSwap,ETH,USDC,MYFRIENDS
327962,23.89,QuickSwap,ETH,USDC,CIRUS
326146,0.08,QuickSwap,ETH,USDC,mBTM
323852,0.42,QuickSwap,ETH,IMX,WETH
321977,0,QuickSwap,ETH,WETH,oBTC
316993,0.03,QuickSwap,ETH,ARIA20,WETH
314671,0.53,QuickSwap,ETH,WMATIC,YEL
311396,1.78,QuickSwap,ETH,WMATIC,FISH
306648,0.95,QuickSwap,ETH,POLR,DAI
306456,3.13,QuickSwap,ETH,QUICK,DNXC
303019,0.32,QuickSwap,ETH,UFT,WETH
300408,23.13,QuickSwap,ETH,USDC,BALL
298334,24.10,QuickSwap,ETH,WMATIC,BALL
296922,17.76,QuickSwap,ETH,WETH,TITAN
291357,2.66,QuickSwap,ETH,QUICK,SUPER
291074,0,QuickSwap,ETH,WMATIC,FIRE
290812,0.84,QuickSwap,ETH,USDC,OMEN
289722,0.34,QuickSwap,ETH,EZ,QUICK
288401,0.40,QuickSwap,ETH,FOR,QUICK
287311,0,QuickSwap,ETH,WMATIC,BabyMatic
286801,0,QuickSwap,ETH,CFO,USDT
285502,0.34,QuickSwap,ETH,USDC,GBTS
277743,4.80,QuickSwap,ETH,WMATIC,DAI
276217,0.64,QuickSwap,ETH,EGG,QUICK
266395,0.06,QuickSwap,ETH,QUICK,DEGEN
262176,8.16,QuickSwap,ETH,WMATIC,ARCADIUM
258058,0.36,QuickSwap,ETH,UFT,QUICK
257300,0.59,QuickSwap,ETH,QUICK,iFARM
255166,0,QuickSwap,ETH,USDC,WOW
248552,0,QuickSwap,ETH,WMATIC,DM
247244,0.34,QuickSwap,ETH,IMX,QUICK
243474,0.01,QuickSwap,ETH,USDC,IOI
241675,0.22,QuickSwap,ETH,WMATIC,GBTS
234919,0.12,QuickSwap,ETH,USDC,PLOT
230486,0.12,QuickSwap,ETH,QUICK,CC10
230145,3.20,QuickSwap,ETH,USDC,ORBS
225723,0,QuickSwap,ETH,MEM,WETH
224086,0.23,QuickSwap,ETH,QUICK,FFF
220441,0.76,QuickSwap,ETH,USDC,SDS
215981,1.49,QuickSwap,ETH,WMATIC,PUSD
211000,0.22,QuickSwap,ETH,WMATIC,EMON
208912,0,QuickSwap,ETH,maUSDC,maUSDT
205994,0.01,QuickSwap,ETH,QUICK,MTHD
203057,0.06,QuickSwap,ETH,USDC,PVI
201893,0.27,QuickSwap,ETH,Krill,USDC
201350,0.14,QuickSwap,ETH,WETH,GAME
200621,1.23,QuickSwap,ETH,TCP,USDC
198886,0.57,QuickSwap,ETH,USDC,IRON
198478,0,QuickSwap,ETH,maUSDC,maDAI
193061,8.80,QuickSwap,ETH,USDC,BONE
190537,0.01,QuickSwap,ETH,$ANRX,WETH
189926,0.04,QuickSwap,ETH,maUSDC,maTUSD
189904,0.13,QuickSwap,ETH,QUICK,DSLA
185593,0.28,QuickSwap,ETH,renDGB,QUICK
185249,0.16,QuickSwap,ETH,QUICK,IGG
183085,1.07,QuickSwap,ETH,WMATIC,REVV
182597,0.87,QuickSwap,ETH,CIOTX,QUICK
176263,0.02,QuickSwap,ETH,WETH,OM
174877,0,QuickSwap,ETH,WMATIC,KITTY
173310,0.27,QuickSwap,ETH,WMATIC,CHAIN
173064,0,QuickSwap,ETH,WMATIC,mBAT
172437,1.30,QuickSwap,ETH,WMATIC,START
170952,0.09,QuickSwap,ETH,ANY,QUICK
169589,0.32,QuickSwap,ETH,USDC,PUP
167398,0,QuickSwap,ETH,XED,WETH
166141,1.27,QuickSwap,ETH,FISH,QUICK
165396,0.38,QuickSwap,ETH,USDC,PAPR
164388,0,QuickSwap,ETH,WMATIC,FVT
163927,1.08,QuickSwap,ETH,WETH,DMT
41419381 ,26.31 ,TraderJoe,ETH,WETH.e,WAVAX
38065026 ,79.58 ,TraderJoe,ETH,WAVAX,USDT.e
18312310 ,76.51 ,TraderJoe,ETH,JOE,WAVAX
15210796 ,11.55 ,TraderJoe,ETH,LINK.e,WAVAX
14122503 ,18.94 ,TraderJoe,ETH,USDT.e,DAI.e
14047878 ,16.78 ,TraderJoe,ETH,WBTC.e,WAVAX
13838458 ,31.93 ,TraderJoe,ETH,WAVAX,DAI.e
10793459 ,49.73 ,TraderJoe,ETH,YAK,WAVAX
5944619 ,37.86 ,TraderJoe,ETH,WAVAX,SNOB
5074034 ,77.23 ,TraderJoe,ETH,JOE,USDT.e
4213340 ,15.28 ,TraderJoe,ETH,WAVAX,XAVA
2938860 ,30.58 ,TraderJoe,ETH,WETH.e,USDT.e
2208907 ,30.76 ,TraderJoe,ETH,PNG,WAVAX
2101807 ,19.39 ,TraderJoe,ETH,WBTC.e,USDT.e
2047938 ,9.58 ,TraderJoe,ETH,WET,WAVAX
1756003 ,25.58 ,TraderJoe,ETH,LINK.e,USDT.e
1644085 ,71.87 ,TraderJoe,ETH,WAVAX,PEFI
1600802 ,29.66 ,TraderJoe,ETH,SHERPA,WAVAX
1575160 ,34.41 ,TraderJoe,ETH,VSO,WAVAX
1357128 ,321 ,TraderJoe,ETH,HUSKY,WAVAX
760778 ,61.90 ,TraderJoe,ETH,WAVAX,ELK
691348 ,18.77 ,TraderJoe,ETH,WAVAX,LINK
277071 ,15.35 ,TraderJoe,ETH,RELAY,WAVAX
126584 ,3.77 ,TraderJoe,ETH,SPORE,WAVAX
65858 ,0.43 ,TraderJoe,ETH,WAVAX,OPMN
56057 ,26.15 ,TraderJoe,ETH,AVE,WAVAX
42559 ,0 ,TraderJoe,ETH,JOE,USDT
19617 ,225 ,TraderJoe,ETH,WAVAX,NEKO
14509 ,0 ,TraderJoe,ETH,PNG,JOE
13265 ,195 ,TraderJoe,ETH,QI,WAVAX
7691 ,343 ,TraderJoe,ETH,WAVAX,ETH
7484 ,42.62 ,TraderJoe,ETH,LYD,WAVAX
7293 ,35.32 ,TraderJoe,ETH,HAT,WAVAX
7130 ,215 ,TraderJoe,ETH,WAVAX,USDT
5273 ,0 ,TraderJoe,ETH,ALGOR,WAVAX
4769 ,27.59 ,TraderJoe,ETH,WBTC,WAVAX
3157 ,214 ,TraderJoe,ETH,AVXT,WAVAX
2987 ,2.82 ,TraderJoe,ETH,CORGI,WAVAX
1953 ,0 ,TraderJoe,ETH,DAI,USDT
1857 ,0 ,TraderJoe,ETH,JOE,DAI
241.85 ,50.59 ,TraderJoe,ETH,WAVAX,DAI
168.28 ,0 ,TraderJoe,ETH,WAVAX,🐆
139.86 ,0 ,TraderJoe,ETH,CYCLE,WAVAX
121.68 ,18.39 ,TraderJoe,ETH,DAI.e,PEFI
49.42 ,0 ,TraderJoe,ETH,SFI,JOE
45.61 ,0 ,TraderJoe,ETH,YAK,JOE
28.73 ,17.17 ,TraderJoe,ETH,SFI,WAVAX
21.51 ,0 ,TraderJoe,ETH,LINK,USDT
10.27 ,0 ,TraderJoe,ETH,NAKAMOTO,WAVAX
10.04 ,6.42 ,TraderJoe,ETH,SUSHI,WAVAX
7.41 ,0 ,TraderJoe,ETH,SL3,JOE
7.34 ,0 ,TraderJoe,ETH,SL3,WAVAX
6.19 ,0 ,TraderJoe,ETH,PNG,VSO
3.62 ,0 ,TraderJoe,ETH,SHIBX,WAVAX
0.26 ,0 ,TraderJoe,ETH,WAVAX,LUX
0.13 ,0 ,TraderJoe,ETH,SNOB,PEFI
0.0543 ,0 ,TraderJoe,ETH,WBTC,USDT
0.0363 ,0 ,TraderJoe,ETH,WAVAX,ADFI
0.0258 ,0 ,TraderJoe,ETH,LINK,PEFI
0.0128 ,0 ,TraderJoe,ETH,YAK,mYAK
0.0015 ,0 ,TraderJoe,ETH,GRT.e,WAVAX
< 0.0001 ,0 ,TraderJoe,ETH,USDT,ETH
0.00 ,0 ,TraderJoe,ETH,WAVAX,GDL
0.00 ,0 ,TraderJoe,ETH,SWRUNK,WAVAX
0.00 ,0 ,TraderJoe,ETH,PNG,LINK
0.00 ,0 ,TraderJoe,ETH,WAVAX,TEN
0.00 ,0 ,TraderJoe,ETH,AVNGR,WAVAX
0.00 ,0 ,TraderJoe,ETH,WAVAX,USELESS
0.00 ,0 ,TraderJoe,ETH,JOE,WET
0.00 ,0 ,TraderJoe,ETH,PNG,SNOB
0.00 ,0 ,TraderJoe,ETH,PNG,DAI
0.00 ,0 ,TraderJoe,ETH,DALTON,WAVAX
0.00 ,0 ,TraderJoe,ETH,shit,WAVAX
0.00 ,0 ,TraderJoe,ETH,PNG,XAVA
0.00 ,0 ,TraderJoe,ETH,AVME,WAVAX
