#,Indiv. Assesment,Audit Score,RugDoc,Farm Name,Farm Symbol,Farm Url,rugdoc_url,network
,,,,,,Sushi,,ETH
,,,,,,Uniswap,,ETH
,,,,,,https://quickswap.exchange/#/quick,,MATIC
,,,,,,https://strudel.finance,,ETH
,,,,,,https://swap.cometh.io/#/stake,,MATIC
,,,,,,https://www.bao.finance,,ETH
x,,,some,Caramel,CARAMEL,https://caramelswap.finance,https://rugdoc.io/project/caramelswap-finance/,BSC
,,,,,,https://absorber.finance,,BSC
x,3.0,,,Icecream,GLTO,https://icecreamswap.finance,https://swapicecream.gitbook.io/icecreamswap-2-0/audit-report,BSC
x,,,some,Mango,MANGO,http://mangofarm.finance,https://rugdoc.io/project/mangofarm/,BSC
,,,,,,https://1inch.exchange/#/dao/farming,,ETH
,,,,,,https://babyswap.finance/ilo,,BSC
,,,,,,SUSHI,,ETH
,,,,,,https://frozenyogurt.finance,,FANTOM
,,,,,,https://autofarm.network,,BSC
,,,,,,https://beta.belt.fi,,BSC
,,,,,,https://app.swamp.finance,,BSC
,,,some,Blue - PlanetFinance,AQUA,https://blue.planetfinance.io,https://rugdoc.io/project/planetfinance/,BSC
,,,,,,https://glacierswap.org/farms/,,BSC
,,,,,,https://dollar.supra.finance,,BSC
,,,low,Borgswap,KLING,https://klingftm.borgswap.exchange,https://rugdoc.io/project/borgswap-kling/,FANTOM
,,,,,,https://app.pangolin.exchange/#/png,,AVAX
,,,some,Apeswap,BANANA,https://apeswap.finance,https://rugdoc.io/project/apeswap/,BSC
,,,low,Gametoken,GME,https://app.gametoken.finance,https://rugdoc.io/project/gametoken/,BSC
,,,low,BerserkFinance,BRSK,https://berserkfinance.com,https://rugdoc.io/project/berserk-finance/,MATIC
,,,,,,https://app.elk.finance,,FANTOM
,,,,,,https://app.wault.finance/polygon,,MATIC
x,,,low,Spooky,boo,https://spookyswap.finance,https://rugdoc.io/project/spookyswap/,FANTOM
,,,,,,https://strd.finance,,FANTOM
,,,high,Frankenstein,FRANK,https://frankenstein.finance,https://rugdoc.io/project/frankenstein/,FANTOM
x,,,high,Waka,WAKA,https://waka.finance,https://rugdoc.io/project/waka-ftm/,FANTOM
,,,some,Opera,OPERA,https://www.operaswap.finance,https://rugdoc.io/project/operaswap-finance/,FANTOM
,,,,,,https://www.liquiddriver.finance,,FANTOM
x,,,low,Polyzap,PZAP,https://farm.polyzap.finance,https://rugdoc.io/project/polyzap-poly/,MATIC
,,,some,Abrakadabra,ABRA,https://abrakadabra.tech,https://rugdoc.io/project/abrakadabra/,BSC
,,,low,Lumberjack,ACORN,https://lumberjack.finance,https://rugdoc.io/project/lumberjack/,MATIC
,,,,,,https://app.acryptos.com,,BSC
,,,,,,https://swipe.org/farm,,BSC
,,,,,,https://xwin.finance,,BSC
,,,low,BitBlocks,BBKFI,https://bitblocks.finance,https://rugdoc.io/project/bitblocks/,BSC
,,,,,,https://pandayield.com,,BSC
x,,,least,Pancake,CAKE,https://pancakeswap.finance,https://rugdoc.io/project/pancakeswap/,BSC
,,,,Goose,GOOSE,https://www.goosedefi.com,https://www.certik.org/projects/ramenswap,BSC
x,,,low,Mochi,MOCHI,https://pool.mochiswap.io,https://rugdoc.io/project/mochiswap/,BSC
,,,low,Slime,SLIME,http://slime.finance,https://rugdoc.io/project/slime/,BSC
,,,low,Jiggly,JIGG,https://www.jiggly.finance,https://rugdoc.io/project/jiggly/,BSC
,,,,,,https://biscuitfarm.finance,,BSC
,,,low,Pumpy,PMP,https://pumpy.farm,https://rugdoc.io/project/pumpy-farm/,BSC
,,,low,Mooncake,MCAKE,https://mooncakeswap.finance,https://rugdoc.io/project/mooncakeswap/,BSC
,,,,,,https://app.comos.finance/,,BSC
,,,,,,https://cheesecakeswap.com,,BSC
,,,,,,https://mouse.farm,,BSC
x,,,low,The Lab,LABO,https://thelab.finance,https://rugdoc.io/project/thelab-finance/,BSC
,,,high,Lokum,LKM,https://lokum.finance,https://rugdoc.io/project/lokum-finance/,BSC
x,,,low,Lime,LIME,https://limeswap.io,https://rugdoc.io/project/limeswap-io/,BSC
,,,,,,https://app.apache.finance/,,BSC
,,,some,Pandaswap,PNDA,https://farms.pandaswap.xyz,https://rugdoc.io/project/pandaswap-xyz/,BSC
,,,low,Panther,PANTHER,https://pantherswap.com,https://rugdoc.io/project/pantherswap/,BSC
,,,low,Jaguar,JAGUAR,https://jaguarswap.com,https://rugdoc.io/project/jaguarswap/,BSC
x,,,low,Zombie,Various,https://zombie-farm.com,https://rugdoc.io/project/zombie-farm-graves/,BSC
,,,some,Degen,DGNZ,https://degentoken.finance,https://rugdoc.io/project/degen/,BSC
,,,,,,https://coinswap.space/,,BSC
x,,,some,Vanillacake,VCAKE,https://vanillacake.farm,https://rugdoc.io/project/vanillacake/,BSC
x,,,some,Garuda,GARUDA,https://garudaswap.finance,https://rugdoc.io/project/garudaswap/,BSC
,,,high,Elixir,ELXR,https://www.elixir-swap.io,https://rugdoc.io/project/elixir-swap/,BSC
xx,,,low,Gator,GATOR,https://gatorswap.xyz,https://rugdoc.io/project/gatorswap/,BSC
,,,low,Dumpling,SDUMP,https://dumplingdefi.finance,https://rugdoc.io/project/dumpling-defi/,BSC
x,,,some,Satis,xSAT,https://satis.finance,https://rugdoc.io/project/satis-finance-xsatis/,BSC
,,,low,Grizzly,GRZ,https://www.grizzlyswap.com,https://rugdoc.io/project/grizzlyswap/,BSC
,,,low,Dinopark,DINO,https://dinopark.finance,https://rugdoc.io/project/dinopark/,BSC
x,,90.0,,TenFi,TENFI,https://ten.finance,https://www.certik.org/projects/tenfinance,BSC
,,,,,,https://cougarswap.io,,BSC
,,,some,Ant,ANT,https://antswap.fi,https://rugdoc.io/project/antswap/,BSC
x,,,some,Lavacake,LAVA,https://lavacake.finance,https://rugdoc.io/project/lava-cake/,BSC
,,,,,,https://www.andromedadefi.com,,BSC
,,,,,,https://thunderbird.finance/,,BSC
,,,,,,https://www.venomswap.net,,BSC
,,,,,,https://www.blacksheepdefi.com,,BSC
x,,,low,Cerberus,CERBERUS,https://gocerberus.finance,https://rugdoc.io/project/gocerberus/,BSC
,,,,,,https://rushmoon.finance/farms,,BSC
x,,,low,Wault,WAULT,https://app.wault.finance,https://rugdoc.io/project/wault/,BSC
,,,,,,https://manyswap.io,,BSC
,,,some,Mozart,PIANO,https://mozartfinance.io,https://rugdoc.io/project/mozart-v2/,BSC
x,,,low,Tree,SEED,https://app.treedefi.com,https://rugdoc.io/project/freedefi/,BSC
,,,,,,https://iron.finance/,,BSC
,,,,,,https://app.sushi.com,,MATIC
x,,,low,Polycat,FISH,https://polycat.finance,https://rugdoc.io/project/polycat/,MATIC
,,,,,,https://swap.smartdex.app,,MATIC
,,,,,,https://dogen.finance,,ETH
,,,,,,https://alchemydao.com,,ETH
,,,,,,https://polygon.alchemydao.com,,MATIC
,,,,,,https://pickle.finance/farms,,ETH
,,,,,,https://app.alchemix.fi/farms,,ETH
,,,,,,Raydium,,SOL
,,,low,Vlad,LIFE,https://app.vlad.finance,https://rugdoc.io/project/vlad-finance/,BSC
,,,low,Hyperjump,ALLOY,https://farm.hyperjump.fi,https://rugdoc.io/project/hyperjump-fi/,BSC
,,,,,,https://app.sponge.finance,,BSC
,,,,,,https://apoyield.com,,BSC
,,,,,,https://aluna.social/farm,,ETH
,,,some,Aloe,ALOE,https://aloeswap.com,https://rugdoc.io/project/aloeswap/,BSC
,,,,,,https://hyfi.pro,,BSC
,,,,,,https://app.alpacafinance.org,,BSC
,,,,,,hhttps://taco.finance/,,BSC
,,,low,Parthenon Alpha,ALPHA,https://alpha.parthenon.finance,https://rugdoc.io/project/alpha-parthenon/,BSC
,,,,,,https://antdefi.io,,BSC
x,,,some,Spirit,SPIRIT,https://app.spiritswap.finance,https://rugdoc.io/project/spiritswap/,FANTOM
,,,,,,https://memefarm.io,,BSC
,,,low,Polyape Finance,APE,https://www.polyapefinance.com,https://rugdoc.io/project/polyapefi-polygon/,MATIC
,,,,,,https://www.polyape.online/,,MATIC
,,,,,,https://olive.cash/farms,,BSC
,,,,,,https://farm.unicrypt.network,,ETH
,,,,,,https://elk.finance,,AVAX
,,,,,,https://armor.fi,,ETH
,,,,,,https://www.arthcoin.com,,ETH
x,,,low,Fanatics,GOAL,https://fanaticsfinance.com,https://rugdoc.io/project/fanatics/,BSC
x,,86.0,,Brew,BREW,https://cafeswap.finance,https://www.certik.org/projects/cafeswap,BSC
x,,,low,Borg,SON,https://ftm.borgswap.exchange,https://rugdoc.io/project/borgswap-kling/,FANTOM
x,,,low,Hyperjump,ORI,https://hyperjump.fi,https://rugdoc.io/project/hyperjump-fi/,FANTOM
,,,low,Blackswap *,AURORA/SOLAR,https://www.blackswap.finance,https://rugdoc.io/project/black-poly/,MATIC
x,,,low,Alchemist,MIST/AURUM,https://www.alchemistdefi.com,https://rugdoc.io/project/alchemist-defi/,BSC
,,,,,,https://dogen.finance,,BSC
,,,,,,https://www.bakeryswap.org,,BSC
,,,low,Brickchain,BRICK,https://brickchain.finance,https://rugdoc.io/project/brickchain/,BSC
,,,,,,https://squirrel.finance,,BSC
,,,,,,https://tripswap.finance,,BSC
,,,,,,https://www.coralfarm.finance/,,BSC
,,,,,,https://avax.olive.cash,,AVAX
,,,,,,https://app.baguette.exchange,,AVAX
,,,,,,https://app.canary.exchange/,,AVAX
,,,,,,https://avme.io,,AVAX
x,,,low,Pandaswap,BAMBOO,https://pandaswap.exchange,https://rugdoc.io/project/panda-swap-defi/,AVAX
x,,,HIGH,Birdy,BIRD,https://birdy.finance,https://rugdoc.io/project/birdy-avalanche/,AVAX
,,,,,,https://avax.complus.exchange,,AVAX
x,,,some,Lydia,LYD,https://www.lydia.finance,https://rugdoc.io/project/lydia-avax/,AVAX
,,,,,,https://bsc.complus.exchange,,BSC
,,,,,,https://exchange.yetiswap.app,,AVAX
,,,,,,https://penguinfinance.org,,AVAX
,,,,,,https://app.gondola.finance,,AVAX
,,,,,,https://farm.avalaunch.app,,AVAX
,,,,,,https://app.0.exchange,,AVAX
,,,,,,https://b2xtoken.io/farm,,BSC
,,,,,,https://basis.cash,,ETH
,,,,,,https://harvest.finance/,,ETH
,,,,,,https://app.thisistheway.finance/#/stake,,ETH
,,,,,,https://bondappetit.io,,ETH
,,,,,,https://www.ybearswap.finance,,BSC
x,,,some,Cosmos Farm (MARS),MARS,https://mars.cosmos.farm,https://rugdoc.io/project/cosmos-mars/,BSC
,,,high,Mocktail,MOK,https://www.mocktailswap.finance,https://rugdoc.io/project/mocktail/,BSC
x,,,low,Pasta,PASTA,https://pastafinance.com,https://rugdoc.io/project/pastafinance/,BSC
,,,,,,https://percent.finance/,,ETH
x,,,low,Bami,BAMI,https://app.bami.money,https://rugdoc.io/project/bami-money/,BSC
,,,some,Zex,ZEX,https://www.zexswap.finance,https://rugdoc.io/project/zex/,BSC
,,,low,Barbecue Swap,BBQ,https://app.barbecueswapfinance.com,https://rugdoc.io/project/barbecueswap-finance/,BSC
,,,low,Blueswap,BLUE,https://app.blueswap.finance,https://rugdoc.io/project/blueswap/,BSC
x,,,some,YieldFields,FIELD,https://yieldfields.finance,https://rugdoc.io/project/yieldfields/,BSC
,,,low,Runner,ENERGY,https://bscrunner.com,https://rugdoc.io/project/bscrunner/,BSC
,,,,,,https://koaladefi.finance/,,BSC
,,,,,,https://floatprotocol.com/#/stake,,ETH
,,,,,,https://basketdao.org,,ETH
,,,,,,https://nft20.io,,ETH
,,,,,,https://benswap.finance/,,BSC
,,,low,Carrotcake,cCAKE,https://carrotcake.fi,https://rugdoc.io/project/carrotcake-fi/,BSC
,,,,,,https://www.bigdataprotocol.com/datavault,,ETH
,,,low,Polybear,BEAR,https://polybear.exchange,https://rugdoc.io/project/polybear/,MATIC
x,,,some,Lazymint,LAZY,https://lazymint.finance,https://rugdoc.io/project/lazymint/,BSC
,,,,,,https://www.saltswap.finance/,,BSC
,,,,,,https://pizzafinance.app,,BSC
,,,low,BorgSwap,KLING,https://farm.borgswap.exchange,https://rugdoc.io/project/borg-ftm-bsc/,BSC
,,,high,Neonic,NEONIC,https://neonic.finance,https://rugdoc.io/project/neonic/,BSC
,,,,,,https://shrimpswap.finance,,BSC
,,,,,,https://fulcrum.trade,,BSC
,,,,,,https://julswap.com,,BSC
x,,,some,Warden,WAD,https://www.wardenswap.finance,https://rugdoc.io/project/wardenswap/,BSC
,,,,,,https://kebabfinance.com,,BSC
,,,low,VeganSwap,VEGAN,https://veganswap.finance,https://rugdoc.io/project/veganswap/,BSC
,,,,,,http://farm.ybear.finance,,BSC
,,,,,,https://sakeswap.finance,,ETH
,,,low,Billhwang,BILL,https://www.billhwangdefi.co,https://rugdoc.io/project/bill-hwang-defi/,BSC
,,,,,,https://biopset.com,,ETH
,,,low,Blizzard,xBLZD,https://blizzard.money,https://rugdoc.io/project/blizzard-money/,BSC
,,,,,,https://swedefi.com/,,BSC
,,,,,,https://tsuki.finance,,BSC
,,,low,Bourbon,BRRL,https://bourbondefi.com,https://rugdoc.io/project/bourbondefi/,BSC
,,,,,,https://berrydata.co/,,BSC
,,,some,Donut,DONUT,https://donutdefi.com,https://rugdoc.io/project/donutswapp/,BSC
,,,low,Toad Swap,TOAD,https://toad.farm,https://rugdoc.io/project/toad-network/,BSC
,,,low,Fullsail,SAIL,https://fullsail.finance,https://rugdoc.io/project/fullsail/,BSC
x,,,low,Hyrule,RUPEE,https://app.hyruleswap.com,https://rugdoc.io/project/hyruleswap/,BSC
x,,,low,Space,SPACE,https://farm.space,https://rugdoc.io/project/farm-space-space/,BSC
,,,low,Yieldbay,PALM,https://yieldbay.finance,https://rugdoc.io/project/yieldbay/,BSC
,,,,,,https://cubdefi.com,,BSC
x,,,some,Muscle,MUSCLE,https://muscle.finance,https://rugdoc.io/project/muscle-finance/,BSC
,,,low,Snek,SNEK,https://snek.farm,https://rugdoc.io/project/snek-farm/,BSC
x,,,low,Dragonball,DBALL,https://dragonballfinance.org,https://rugdoc.io/project/dragonball/,BSC
x,,,low,Marshmallow,MASH/TOFY,https://marshmallowdefi.com,https://rugdoc.io/project/marshmellow-defi/,BSC
,,,high,GoatSwap,GOAT,https://goatswap.finance,https://rugdoc.io/project/goatswap-finance/,BSC
