random,Indiv. Assesment,Audit Score,RugDoc,Farm Name,Farm Symbol,Farm Url,rugdoc_url,network
x,,,least,Pancake,CAKE,https://pancakeswap.finance,https://rugdoc.io/project/pancakeswap/,BSC
,,,some,Apeswap,BANANA,https://apeswap.finance,https://rugdoc.io/project/apeswap/,BSC
x,,86,,Brew,BREW,https://cafeswap.finance,https://www.certik.org/projects/cafeswap,BSC
,,,some,Donut,DONUT,https://donutdefi.com,https://rugdoc.io/project/donutswapp/,BSC
,,,,Goose,GOOSE,https://www.goosedefi.com,https://www.certik.org/projects/ramenswap,BSC
x,4,,,Salt,SALT,https://www.saltswap.finance,https://www.certik.org/projects/saltswap,BSC
,,,some,Beluga,BELUGA,https://belugaprotocol.org,https://rugdoc.io/project/beluga-protocol-cake-reward-pool/,BSC
x,3,,,Icecream,GLTO,https://icecreamswap.finance,https://swapicecream.gitbook.io/icecreamswap-2-0/audit-report,BSC
x,,,low,Mochi,MOCHI,https://pool.mochiswap.io,https://rugdoc.io/project/mochiswap/,BSC
,,,low,Slime,SLIME,http://slime.finance,https://rugdoc.io/project/slime/,BSC
x,,,low,Wault,WAULT,https://app.wault.finance,https://rugdoc.io/project/wault/,BSC
,,,low,Toad Swap,TOAD,https://toad.farm,https://rugdoc.io/project/toad-network/,BSC
x,,,low,Koala,LYPTUS,https://koaladefi.finance,https://rugdoc.io/project/koala-defi/,BSC
x,,,low,Coral,CRL,https://coralfarm.finance,https://rugdoc.io/project/coralfarm/,BSC
,,,low,Iron Finance,STEEL,https://iron.finance,https://rugdoc.io/project/iron-finance/,BSC
,,,low,Hyperjump,ALLOY,https://farm.hyperjump.fi,https://rugdoc.io/project/hyperjump-fi/,BSC
x,,90,,Berry,BRY,https://berrydata.co,https://www.certik.org/projects/berrydata,BSC
,,,low,Blueswap,BLUE,https://app.blueswap.finance,https://rugdoc.io/project/blueswap/,BSC
,,,low,Brickchain,BRICK,https://brickchain.finance,https://rugdoc.io/project/brickchain/,BSC
,,,low,Fullsail,SAIL,https://fullsail.finance,https://rugdoc.io/project/fullsail/,BSC
x,,,low,Hyrule,RUPEE,https://app.hyruleswap.com,https://rugdoc.io/project/hyruleswap/,BSC
,,,low,Jiggly,JIGG,https://www.jiggly.finance,https://rugdoc.io/project/jiggly/,BSC
,,,low,Swamp,SWAMP,https://swamp.finance,https://rugdoc.io/project/swamp-finance/,BSC
,,,low,Vlad,LIFE,https://app.vlad.finance,https://rugdoc.io/project/vlad-finance/,BSC
,,,low,Blizzard,xBLZD,https://blizzard.money,https://rugdoc.io/project/blizzard-money/,BSC
,,,low,Runner,ENERGY,https://bscrunner.com,https://rugdoc.io/project/bscrunner/,BSC
,,,low,Pumpy,PMP,https://pumpy.farm,https://rugdoc.io/project/pumpy-farm/,BSC
x,,,low,Knight,KNIGHT,https://www.knightsdefi.com,https://rugdoc.io/project/knightsdefi-knights-of-the-round-table/,BSC
x,,,low,Space,SPACE,https://farm.space,https://rugdoc.io/project/farm-space-space/,BSC
,,,low,Yieldbay,PALM,https://yieldbay.finance,https://rugdoc.io/project/yieldbay/,BSC
,,,low,Mooncake,MCAKE,https://mooncakeswap.finance,https://rugdoc.io/project/mooncakeswap/,BSC
x,,,low,Eleven,ELE,https://eleven.finance,https://rugdoc.io/project/wault/,BSC
x,,,low,Yumcha,YUMCHA,https://yumcha.finance,https://rugdoc.io/project/yumcha-finance/,BSC
,,,low,Comos,COMOS,https://app.comos.finance,https://rugdoc.io/project/comos/,BSC
x,,,some,Muscle,MUSCLE,https://muscle.finance,https://rugdoc.io/project/muscle-finance/,BSC
,,,low,Carrotcake,cCAKE,https://carrotcake.fi,https://rugdoc.io/project/carrotcake-fi/,BSC
x,,,low,Alchemist,MIST/AURUM,https://www.alchemistdefi.com,https://rugdoc.io/project/alchemist-defi/,BSC
,,,some,Mozart,PIANO,https://mozartfinance.io,https://rugdoc.io/project/mozart-v2/,BSC
x,,,low,Tree,SEED,https://app.treedefi.com,https://rugdoc.io/project/freedefi/,BSC
,,,some,Abrakadabra,ABRA,https://abrakadabra.tech,https://rugdoc.io/project/abrakadabra/,BSC
,,,low,Snek,SNEK,https://snek.farm,https://rugdoc.io/project/snek-farm/,BSC
,,,high,Uranium,RADS,https://app.uranium.finance,https://rugdoc.io/project/uranium-v2/,BSC
,,,some,Zex,ZEX,https://www.zexswap.finance,https://rugdoc.io/project/zex/,BSC
x,,,low,Dragonball,DBALL,https://dragonballfinance.org,https://rugdoc.io/project/dragonball/,BSC
,,,low,Diamond,DND,https://app.diamondhand.fi,https://rugdoc.io/project/diamondhand-fi/,BSC
x,,,low,Marshmallow,MASH/TOFY,https://marshmallowdefi.com,https://rugdoc.io/project/marshmellow-defi/,BSC
x,,,low,Pasta,PASTA,https://pastafinance.com,https://rugdoc.io/project/pastafinance/,BSC
,,,low,BorgSwap,KLING,https://farm.borgswap.exchange,https://rugdoc.io/project/borg-ftm-bsc/,BSC
,,,low,Soju,SOJU,https://sojudefi.com,https://rugdoc.io/project/sojudefi/,BSC
,,,high,GoatSwap,GOAT,https://goatswap.finance,https://rugdoc.io/project/goatswap-finance/,BSC
,,,low,BitBlocks,BBKFI,https://bitblocks.finance,https://rugdoc.io/project/bitblocks/,BSC
,,,low,VeganSwap,VEGAN,https://veganswap.finance,https://rugdoc.io/project/veganswap/,BSC
,,,low,The Farming Den,TFT,https://thefarmingden.com,https://rugdoc.io/project/the-farming-den/,BSC
x,,,low,ThunderSwap,TNDR,https://thunderswap.finance,https://rugdoc.io/project/thunderswap/,BSC
,,,low,Bourbon,BRRL,https://bourbondefi.com,https://rugdoc.io/project/bourbondefi/,BSC
x,,,low,The Lab,LABO,https://thelab.finance,https://rugdoc.io/project/thelab-finance/,BSC
,,,low,Parthenon Alpha,ALPHA,https://alpha.parthenon.finance,https://rugdoc.io/project/alpha-parthenon/,BSC
,,,high,Lokum,LKM,https://lokum.finance,https://rugdoc.io/project/lokum-finance/,BSC
x,,,some,Growth,WHEAT,https://wheat.growthdefi.com,https://rugdoc.io/project/wheat-growthdefi-com/,BSC
,,,high,Neonic,NEONIC,https://neonic.finance,https://rugdoc.io/project/neonic/,BSC
,,,high,Jazz,JAZZ,https://jazzdefi.com,https://rugdoc.io/project/jazz/,BSC
No TLV,,,,Defi Oasis,OASIS,https://defioasis.finance,https://rugdoc.io/project/defi-oasis/,BSC
,,,low,APWars,WGOLD,https://farms.apwars.farm,https://rugdoc.io/project/apwars/,BSC
,,,low,Evodefi,GEN,https://evodefi.com,https://rugdoc.io/project/evo-defi/,BSC
,,,low,Gametoken,GME,https://app.gametoken.finance,https://rugdoc.io/project/gametoken/,BSC
x,,,low,Lime,LIME,https://limeswap.io,https://rugdoc.io/project/limeswap-io/,BSC
x,,,low,Apache,APACHE,https://app.apache.finance,https://rugdoc.io/project/apache-finance/,BSC
x,,,some,Mango,MANGO,http://mangofarm.finance,https://rugdoc.io/project/mangofarm/,BSC
x,,,low,Bami,BAMI,https://app.bami.money,https://rugdoc.io/project/bami-money/,BSC
,,,some,Pandaswap,PNDA,https://farms.pandaswap.xyz,https://rugdoc.io/project/pandaswap-xyz/,BSC
,,,low,Panther,PANTHER,https://pantherswap.com,https://rugdoc.io/project/pantherswap/,BSC
,,,low,dungeonswap,DND,https://dungeonswap.app,https://rugdoc.io/project/dungeonswap/,BSC
x,,,some,Caramel,CARAMEL,https://caramelswap.finance,https://rugdoc.io/project/caramelswap-finance/,BSC
xx,,,low,Plumcake,PLUM,https://plumcake.finance,https://rugdoc.io/project/plumcake-finance/,BSC
x,,,some,Feeder,FEED,https://app.feeder.finance,https://rugdoc.io/project/feeder-finance/,BSC
,,,low,Jaguar,JAGUAR,https://jaguarswap.com,https://rugdoc.io/project/jaguarswap/,BSC
x,,,low,Zombie,Various,https://zombie-farm.com,https://rugdoc.io/project/zombie-farm-graves/,BSC
,,,some,Degen,DGNZ,https://degentoken.finance,https://rugdoc.io/project/degen/,BSC
x,,,some,Tap,TAPS,https://tapswap.finance,https://rugdoc.io/project/tapswap-money/,BSC
,,,high,Mocktail,MOK,https://www.mocktailswap.finance,https://rugdoc.io/project/mocktail/,BSC
x,,,low,Coinswap,CSS,https://coinswap.space,https://rugdoc.io/project/coinswap/,BSC
,,,low,Barbecue Swap,BBQ,https://app.barbecueswapfinance.com,https://rugdoc.io/project/barbecueswap-finance/,BSC
x,,,low,PrivacySwap,PRV,https://privacyswap.finance,https://rugdoc.io/project/privacyswap/,BSC
,,,some,Blue - PlanetFinance,AQUA,https://blue.planetfinance.io,https://rugdoc.io/project/planetfinance/,BSC
x,,,low,Fanatics,GOAL,https://fanaticsfinance.com,https://rugdoc.io/project/fanatics/,BSC
,,,low,Pulsar,PUL,https://www.pulsar.farm,https://rugdoc.io/project/pulsar/,BSC
x,,,some,Vanillacake,VCAKE,https://vanillacake.farm,https://rugdoc.io/project/vanillacake/,BSC
x,,,some,Garuda,GARUDA,https://garudaswap.finance,https://rugdoc.io/project/garudaswap/,BSC
x,,,some,Warden,WAD,https://www.wardenswap.finance,https://rugdoc.io/project/wardenswap/,BSC
,,,high,Elixir,ELXR,https://www.elixir-swap.io,https://rugdoc.io/project/elixir-swap/,BSC
No TLV,,,,Sunflower,SUNFLOWER,https://sunflowerfarming.us,https://rugdoc.io/project/sunflower/,BSC
xx,,,low,Gator,GATOR,https://gatorswap.xyz,https://rugdoc.io/project/gatorswap/,BSC
x,,,some,Eggplant,EGGP,https://eggplant.fi,https://rugdoc.io/project/eggplant-fi/,BSC
,,,low,Dumpling,SDUMP,https://dumplingdefi.finance,https://rugdoc.io/project/dumpling-defi/,BSC
,,,low,Mushrooms,MM,https://mushrooms.finance,https://rugdoc.io/project/mushroom/,BSC
x,,,some,Satis,xSAT,https://satis.finance,https://rugdoc.io/project/satis-finance-xsatis/,BSC
,,,low,Grizzly,GRZ,https://www.grizzlyswap.com,https://rugdoc.io/project/grizzlyswap/,BSC
x,,,low,Friction,xTAO,https://friction.finance,https://rugdoc.io/project/friction-finance-tao/,BSC
,,,low,Dinopark,DINO,https://dinopark.finance,https://rugdoc.io/project/dinopark/,BSC
x,,90,,TenFi,TENFI,https://ten.finance,https://www.certik.org/projects/tenfinance,BSC
x,,,some,YieldFields,FIELD,https://yieldfields.finance,https://rugdoc.io/project/yieldfields/,BSC
x,,,HIGH,Frankenstein,FRANK,https://frankenstein.finance,https://rugdoc.io/project/frankenstein/,BSC
x,,,HIGH,Biswap,BSW,https://biswap.org,https://rugdoc.io/project/biswap/,BSC
x,,,low,Cerberus,CERBERUS,https://gocerberus.finance,https://rugdoc.io/project/gocerberus/,BSC
,,,low,Oni,ONI,https://oni.exchange,https://rugdoc.io/project/oni-exchange/,BSC
x,,,some,Ketchup,KETCHUP,https://ketchupfinance.com,https://rugdoc.io/project/ketchup-finance/,BSC
x,,,HIGH,Longdrink,LONG,https://longdrink.finance,https://rugdoc.io/project/longdrink/,BSC
x,,,some,Cosmos Farm (MARS),MARS,https://mars.cosmos.farm,https://rugdoc.io/project/cosmos-mars/,BSC
,,,high,Pancakefork,FCKE,https://app.pancakefork.finance,https://rugdoc.io/project/pancakefork/,BSC
,,,Not Eligible,Kesef Finance,KSF,https://kesef.finance,https://rugdoc.io/project/kesef-finance/,BSC
x,,,low,Prism,PRISM,https://bsc.prismfinance.net,https://rugdoc.io/project/prism-finance/,BSC
,,,some,Aloe,ALOE,https://aloeswap.com,https://rugdoc.io/project/aloeswap/,BSC
x,,,some,TeaSwap,SUGAR,https://tea-swap-app.finance,https://rugdoc.io/project/teaswapapp/,BSC
x,,,low,Fish,FISH,https://fishswap.app,https://rugdoc.io/project/fishswap/,BSC
,,,high,GuessIt,GSSIT,https://guessit.app,https://rugdoc.io/project/guessit/,BSC
x,,,some,Lazymint,LAZY,https://lazymint.finance,https://rugdoc.io/project/lazymint/,BSC
x,,,low,Werewolf,WEREWOLF,https://werewolf.farm,https://rugdoc.io/project/werewolf-farm/,BSC
,,,low,ShopSwap Finance,SHOP,https://shopswap.finance,https://rugdoc.io/project/shopswap/,BSC
x,,,RUG,Panty,PANTY,https://pantyswap.yieldpanty.finance,https://rugdoc.io/project/pantyswap/,BSC
,,,some,Ant,ANT,https://antswap.fi,https://rugdoc.io/project/antswap/,BSC
,,,low,Billhwang,BILL,https://www.billhwangdefi.co,https://rugdoc.io/project/bill-hwang-defi/,BSC
x,,,some,Lavacake,LAVA,https://lavacake.finance,https://rugdoc.io/project/lava-cake/,BSC
,,,high,Mayo,MAYO,https://mayoswap.com,https://rugdoc.io/project/mayoswap/,BSC
,,,high,FarmHero,FARMHERO,https://farmhero.io,https://rugdoc.io/project/farmhero/,BSC
x,,,some,Polywhale,KRILL,https://polywhale.finance,https://rugdoc.io/project/polywhale-polygon/,MATIC
,,,high,Polyfox,FOX,https://polyfox.finance,https://rugdoc.io/project/polyfox-finance/,MATIC
,,,some,Hawkdex,HAWK,https://hawkdex.com,https://rugdoc.io/project/polyhawk/,MATIC
,,,some,PolyDragon,FIRE,https://polydragon.io,https://rugdoc.io/project/polydragon-io/,MATIC
x,,,low,Polycat,FISH,https://polycat.finance,https://rugdoc.io/project/polycat/,MATIC
,,,some,PolyStarter,STARTER,https://www.polystarter.fi,https://rugdoc.io/project/polystarter-fi/,MATIC
,,,some,Polyvolve,SPEAR,https://polyvolve.finance,https://rugdoc.io/project/polyvolve-finance/,MATIC
x,,,some,Polygaj,GAJ,https://polygaj.finance,https://rugdoc.io/project/polygaj-finance/,MATIC
,,,some,GameSwap,STONK,https://gameswapfinance.com,https://rugdoc.io/project/gameswap/,MATIC
,,,low,Blackswap *,AURORA/SOLAR,https://www.blackswap.finance,https://rugdoc.io/project/black-poly/,MATIC
x,,,some,Polycake,PCAKE,https://www.polycake.finance,https://rugdoc.io/project/polycake-finance/,MATIC
,,,some,Polyrangers,RNG,https://polyrangers.finance,https://rugdoc.io/project/polyrangers-poly/,MATIC
,,,low,Polyshark,SHARK,https://www.polyshark.finance,https://rugdoc.io/project/polysharkpolygon/,MATIC
,,,low,Polyfi,PolyFi,https://polyfi.io,https://rugdoc.io/project/polyfi-polygon/,MATIC
,,,low,Polyape,Ape,https://www.polyape.online,https://rugdoc.io/project/polyape-polygon/,MATIC
x,,,low,Polyzap,PZAP,https://farm.polyzap.finance,https://rugdoc.io/project/polyzap-poly/,MATIC
,,,some,Polypanda,BAMBOO,https://polypanda.finance,https://rugdoc.io/project/polypanda-polygon/,MATIC
,,,low,Jurassic,RAPTOR,https://www.jurassicfarm.app,https://rugdoc.io/project/jurassic-farm-polygon/,MATIC
,,,low,Monopoly,MONO,https://monopolyfinance.xyz,https://rugdoc.io/project/monopoly-polygon/,MATIC
,,,low,Polyce,CSI,https://polyce.io,https://rugdoc.io/project/polyce-polygon/,MATIC
,,,low,Lumberjack,ACORN,https://lumberjack.finance,https://rugdoc.io/project/lumberjack/,MATIC
,,,low,PolyPunk,PPNK,https://polypunk.finance,https://rugdoc.io/project/polypunk-finance/,MATIC
,,,some,SteakHouse,STEAK,https://steakhouse.finance,https://rugdoc.io/project/steakhouse/,MATIC
x,,,low,Polylion,LION,https://polylion.exchange,https://rugdoc.io/project/polylion/,MATIC
x,,,low,PolyBull,BULL,https://polybull.finance,https://rugdoc.io/project/polybull-finance/,MATIC
,,,low,Orcinus,ORCA,https://www.orcinuslabs.ca,https://rugdoc.io/project/orcinuslabs/,MATIC
,,,low,Polyape Finance,APE,https://www.polyapefinance.com,https://rugdoc.io/project/polyapefi-polygon/,MATIC
,,,some,PolyWolf,WOLF,https://polywolf.finance,https://rugdoc.io/project/polywolf/,MATIC
,,,high,Polygoat,GOAT,https://www.polygoat.finance,https://rugdoc.io/project/polygoat/,MATIC
,,,high,Polysnake,SNAKE,https://www.polysnake.finance,https://rugdoc.io/project/polysnake/,MATIC
x,,,low,Iron,TITAN,https://polygon.iron.finance,https://rugdoc.io/project/polygon-iron-finance/,MATIC
,,,some,Polycrab,CRAB,https://polycrab.finance,https://rugdoc.io/project/polycrab/,MATIC
,,,low,Polybear,BEAR,https://polybear.exchange,https://rugdoc.io/project/polybear/,MATIC
,,,low,StonkFarm,STONKX,https://stonk.farm,https://rugdoc.io/project/gameswap-stonkx/,MATIC
,,,high,Polydex,PLX,https://polydex.fi,https://rugdoc.io/project/polydex/,MATIC
,,,low,PolyMaple,MAPLE,,https://rugdoc.io/project/polymaple/,MATIC
,,,low,Smellycat,PUSSY,https://www.smellycat.finance,https://rugdoc.io/project/smellycat-finance/,MATIC
x,,,RUG,Polygold,POLYGOLD,https://polygold.finance,https://rugdoc.io/project/polygold/,MATIC
,,,low,Polyswan,SWAN,https://www.polyswan.finance,https://rugdoc.io/project/polyswan/,MATIC
,,,high,Polyion,LION,https://www.polyion.net,https://rugdoc.io/project/polyion/,MATIC
,,,Not Eligible,Eleven,ELE,https://eleven.finance,https://rugdoc.io/project/eleven-finance/,MATIC
x,,,some,Pirate Dice,BOOTY,http://piratedice.xyz,https://rugdoc.io/project/piratedice/,MATIC
x,,,some,PolyPingu,PINGU,https://polypingu.finance,https://rugdoc.io/project/polypingu/,MATIC
x,,,low,Goldenbull,GBULL,https://farms.goldenbull.finance,https://rugdoc.io/project/goldenbull/,MATIC
,,,some,Polyakita,HACHI,https://defi.polyakita.com,https://rugdoc.io/project/polyakita/,MATIC
x,,,low,Prism,PRISM,https://polygon.prismfinance.net,https://rugdoc.io/project/prism-finance/,MATIC
,,,high,Polybutterfly,POLLEN,https://polybutterfly.finance,https://rugdoc.io/project/polybutterfly/,MATIC
x,,,some,Southpark,SOUTHPARK,https://southpark.finance,https://rugdoc.io/project/south-park-finance/,MATIC
,,,low,PolyCash,CASH,https://polycash.finance,https://rugdoc.io/project/polycash/,MATIC
,,,high,Dinosaur,DINO,https://dinosaurfinance.vercel.app,https://rugdoc.io/project/dinosaur-finance/,MATIC
,,,some,Magic,DRAX/DMAGIC,https://defimagic.io,https://rugdoc.io/project/magic-defi/,MATIC
,,,low,Polymouse,MICE,https://polymouse.finance,https://rugdoc.io/project/polymouse/,MATIC
,,,low,PolyTiger,TIGON,https://www.polytiger.com,https://rugdoc.io/project/polytiger/,MATIC
,,,low,Polydeer,DEER,https://polydeer.finance,https://rugdoc.io/project/polydeer-finance/,MATIC
,,,low,Avengers,SHIELD,https://avengers.exchange,https://rugdoc.io/project/avengers-exchange/,MATIC
,,,low,BerserkFinance,BRSK,https://berserkfinance.com,https://rugdoc.io/project/berserk-finance/,MATIC
,,,low,PolyMeme,MEME,vfat.tools/polygon/polymeme,https://rugdoc.io/project/polymeme/,MATIC
,,,low,PolyPup,PUP,https://polypup.finance,https://rugdoc.io/project/polypup-finance/,MATIC
,,,low,Space,SPACE,https://polygon.space-defi.com,https://rugdoc.io/project/polygon-space-defi/,MATIC
,,,high,Glock,GLOCK,https://www.glockswap.com,https://rugdoc.io/project/glockswap/,MATIC
,,,some,PolyCarrot,CARROT,https://www.polycarrot.finance,https://rugdoc.io/project/polycarrot/,MATIC
,,,low,MordorSwap,MORDOR,https://mordorswap.finance,https://rugdoc.io/project/mordorswap/,MATIC
,,,low,PolyVertex,VERT,https://polyvertex.finance,https://rugdoc.io/project/polyvertex/,MATIC
,,,low,PolyMax,MAX,https://polymax.club,https://rugdoc.io/project/polymax/,MATIC
,,,low,PolySnowFarm,SNOW,https://polysnow.farm,https://rugdoc.io/project/polysnow-farm/,MATIC
,,,low,Polyyeld,YELD,https://polyyeld.finance,https://rugdoc.io/project/polyyeld-finance/,MATIC
,,,low,Polysa,DUFF,https://www.polysa.finance,https://rugdoc.io/project/polysa-finance/,MATIC
x,,,low,Pandaswap,BAMBOO,https://pandaswap.exchange,https://rugdoc.io/project/panda-swap-defi/,AVAX
x,,,some,Lydia,LYD,https://www.lydia.finance,https://rugdoc.io/project/lydia-avax/,AVAX
x,,,HIGH,Birdy,BIRD,https://birdy.finance,https://rugdoc.io/project/birdy-avalanche/,AVAX
x,,,low,Spooky,boo,https://spookyswap.finance,https://rugdoc.io/project/spookyswap/,FANTOM
x,,,some,Spirit,SPIRIT,https://app.spiritswap.finance,https://rugdoc.io/project/spiritswap/,FANTOM
x,,,low,Borg,SON,https://ftm.borgswap.exchange,https://rugdoc.io/project/borgswap-kling/,FANTOM
x,,,low,Hyperjump,ORI,https://hyperjump.fi,https://rugdoc.io/project/hyperjump-fi/,FANTOM
x,,,low,Ester,EST,https://ester.finance,https://rugdoc.io/project/ester-finance/,FANTOM
No TLV,,,low,Beefy,Various,https://fantom.beefy.finance,https://rugdoc.io/project/beefy-finance/,FANTOM
,,,high,Stake Steak,STEAK,https://stakesteak.com,https://rugdoc.io/project/stakesteak/,FANTOM
,,,high,Frankenstein,FRANK,https://frankenstein.finance,https://rugdoc.io/project/frankenstein/,FANTOM
x,,,high,Waka,WAKA,https://waka.finance,https://rugdoc.io/project/waka-ftm/,FANTOM
xx,,,high,Paintswap,BRUSH,https://paintswap.finance,https://rugdoc.io/project/paintswap/,FANTOM
xx,,,low,Tomb,Various,https://tomb.finance,https://rugdoc.io/project/tomb-finance/,FANTOM
,,,high,Shadow,Various,https://shadowswap.app,https://rugdoc.io/project/shadowswap-finance/,FANTOM
,,,low,Borgswap,KLING,https://klingftm.borgswap.exchange,https://rugdoc.io/project/borgswap-kling/,FANTOM
,,,some,Opera,OPERA,https://www.operaswap.finance,https://rugdoc.io/project/operaswap-finance/,FANTOM